




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (107)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cuticular plate (GO:0032437)	15	1	.07	+	13.60	7.11E-02	1.00E00
nuclear cyclin-dependent protein kinase holoenzyme complex (GO:0019908)	15	1	.07	+	13.60	7.11E-02	1.00E00
gamma-tubulin complex (GO:0000930)	16	1	.08	+	12.75	7.56E-02	1.00E00
FAR/SIN/STRIPAK complex (GO:0090443)	17	1	.08	+	12.00	8.01E-02	1.00E00
COPI-coated vesicle membrane (GO:0030663)	18	1	.09	+	11.34	8.47E-02	1.00E00
axolemma (GO:0030673)	20	1	.10	+	10.20	9.36E-02	1.00E00
filopodium tip (GO:0032433)	20	1	.10	+	10.20	9.36E-02	1.00E00
dendrite terminus (GO:0044292)	21	1	.10	+	9.72	9.81E-02	1.00E00
phagophore assembly site membrane (GO:0034045)	21	1	.10	+	9.72	9.81E-02	1.00E00
platelet alpha granule (GO:0031091)	21	1	.10	+	9.72	9.81E-02	1.00E00
multivesicular body (GO:0005771)	65	3	.32	+	9.42	4.01E-03	2.85E-01
dopaminergic synapse (GO:0098691)	22	1	.11	+	9.28	1.02E-01	1.00E00
carboxy-terminal domain protein kinase complex (GO:0032806)	22	1	.11	+	9.28	1.02E-01	1.00E00
secondary lysosome (GO:0005767)	22	1	.11	+	9.28	1.02E-01	1.00E00
neurotransmitter receptor complex (GO:0098878)	47	2	.23	+	8.68	2.23E-02	6.44E-01
astrocyte projection (GO:0097449)	25	1	.12	+	8.16	1.16E-01	1.00E00
proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)	25	1	.12	+	8.16	1.16E-01	1.00E00
microtubule plus-end (GO:0035371)	26	1	.13	+	7.85	1.20E-01	1.00E00
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	26	1	.13	+	7.85	1.20E-01	1.00E00
postsynaptic endosome (GO:0098845)	27	1	.13	+	7.56	1.24E-01	1.00E00
INO80-type complex (GO:0097346)	27	1	.13	+	7.56	1.24E-01	1.00E00
multivesicular body membrane (GO:0032585)	27	1	.13	+	7.56	1.24E-01	1.00E00
proton-transporting V-type ATPase complex (GO:0033176)	29	1	.14	+	7.04	1.33E-01	1.00E00
dense core granule (GO:0031045)	60	2	.29	+	6.80	3.50E-02	7.59E-01
serine/threonine protein kinase complex (GO:1902554)	122	4	.60	+	6.69	3.07E-03	2.66E-01
COPI-coated vesicle (GO:0030137)	31	1	.15	+	6.58	1.41E-01	1.00E00
AMPA glutamate receptor complex (GO:0032281)	31	1	.15	+	6.58	1.41E-01	1.00E00
microbody lumen (GO:0031907)	32	1	.16	+	6.38	1.46E-01	1.00E00
peroxisomal matrix (GO:0005782)	32	1	.16	+	6.38	1.46E-01	1.00E00
integrin complex (GO:0008305)	33	1	.16	+	6.18	1.50E-01	1.00E00
recycling endosome membrane (GO:0055038)	99	3	.49	+	6.18	1.28E-02	4.90E-01
hippocampal mossy fiber to CA3 synapse (GO:0098686)	67	2	.33	+	6.09	4.28E-02	8.53E-01
protein kinase complex (GO:1902911)	135	4	.66	+	6.05	4.41E-03	2.93E-01
organelle envelope lumen (GO:0031970)	106	3	.52	+	5.78	1.53E-02	5.09E-01
melanosome (GO:0042470)	108	3	.53	+	5.67	1.61E-02	5.26E-01
microtubule end (GO:1990752)	36	1	.18	+	5.67	1.62E-01	1.00E00
smooth endoplasmic reticulum (GO:0005790)	36	1	.18	+	5.67	1.62E-01	1.00E00
pigment granule (GO:0048770)	108	3	.53	+	5.67	1.61E-02	5.18E-01
dendrite cytoplasm (GO:0032839)	37	1	.18	+	5.52	1.66E-01	1.00E00
phagophore assembly site (GO:0000407)	38	1	.19	+	5.37	1.70E-01	1.00E00
neuronal cell body membrane (GO:0032809)	38	1	.19	+	5.37	1.70E-01	1.00E00
clathrin-coated vesicle membrane (GO:0030665)	77	2	.38	+	5.30	5.49E-02	9.12E-01
extracellular vesicle (GO:1903561)	118	3	.58	+	5.19	2.03E-02	6.05E-01
sarcoplasmic reticulum membrane (GO:0033017)	40	1	.20	+	5.10	1.79E-01	1.00E00
neuronal dense core vesicle (GO:0098992)	40	1	.20	+	5.10	1.79E-01	1.00E00
cell body membrane (GO:0044298)	41	1	.20	+	4.98	1.83E-01	1.00E00
recycling endosome (GO:0055037)	206	5	1.01	+	4.95	3.48E-03	2.77E-01
coated vesicle membrane (GO:0030662)	126	3	.62	+	4.86	2.41E-02	6.77E-01
myelin sheath (GO:0043209)	211	5	1.03	+	4.84	3.85E-03	2.95E-01
extracellular organelle (GO:0043230)	127	3	.62	+	4.82	2.46E-02	6.63E-01
extracellular membrane-bounded organelle (GO:0065010)	127	3	.62	+	4.82	2.46E-02	6.54E-01
exocytic vesicle membrane (GO:0099501)	173	4	.85	+	4.72	1.04E-02	4.43E-01
synaptic vesicle membrane (GO:0030672)	173	4	.85	+	4.72	1.04E-02	4.34E-01
axonal growth cone (GO:0044295)	44	1	.22	+	4.64	1.95E-01	1.00E00
late endosome (GO:0005770)	310	7	1.52	+	4.61	8.44E-04	9.35E-02
ionotropic glutamate receptor complex (GO:0008328)	45	1	.22	+	4.53	1.99E-01	1.00E00
cation-transporting ATPase complex (GO:0090533)	45	1	.22	+	4.53	1.99E-01	1.00E00
mitochondrial intermembrane space (GO:0005758)	92	2	.45	+	4.44	7.49E-02	1.00E00
ATPase dependent transmembrane transport complex (GO:0098533)	47	1	.23	+	4.34	2.06E-01	1.00E00
postsynaptic cytosol (GO:0099524)	47	1	.23	+	4.34	2.06E-01	1.00E00
Golgi-associated vesicle membrane (GO:0030660)	47	1	.23	+	4.34	2.06E-01	1.00E00
extracellular exosome (GO:0070062)	96	2	.47	+	4.25	8.06E-02	1.00E00
podosome (GO:0002102)	48	1	.24	+	4.25	2.10E-01	1.00E00
SNARE complex (GO:0031201)	49	1	.24	+	4.16	2.14E-01	1.00E00
plasma membrane signaling receptor complex (GO:0098802)	198	4	.97	+	4.12	1.64E-02	5.03E-01
PcG protein complex (GO:0031519)	50	1	.25	+	4.08	2.18E-01	1.00E00
organelle membrane contact site (GO:0044232)	50	1	.25	+	4.08	2.18E-01	1.00E00
transport vesicle membrane (GO:0030658)	250	5	1.23	+	4.08	7.80E-03	4.32E-01
respiratory chain complex I (GO:0045271)	50	1	.25	+	4.08	2.18E-01	1.00E00
NADH dehydrogenase complex (GO:0030964)	50	1	.25	+	4.08	2.18E-01	1.00E00
immunological synapse (GO:0001772)	50	1	.25	+	4.08	2.18E-01	1.00E00
microbody (GO:0042579)	151	3	.74	+	4.05	3.82E-02	8.02E-01
peroxisome (GO:0005777)	151	3	.74	+	4.05	3.82E-02	7.94E-01
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	51	1	.25	+	4.00	2.22E-01	1.00E00
proton-transporting two-sector ATPase complex (GO:0016469)	51	1	.25	+	4.00	2.22E-01	1.00E00
excitatory synapse (GO:0060076)	105	2	.51	+	3.89	9.39E-02	1.00E00
transcription elongation factor complex (GO:0008023)	53	1	.26	+	3.85	2.29E-01	1.00E00
autophagosome membrane (GO:0000421)	53	1	.26	+	3.85	2.29E-01	1.00E00
trans-Golgi network membrane (GO:0032588)	55	1	.27	+	3.71	2.37E-01	1.00E00
neuromuscular junction (GO:0031594)	111	2	.54	+	3.68	1.03E-01	1.00E00
late endosome membrane (GO:0031902)	168	3	.82	+	3.64	4.97E-02	8.77E-01
dendrite membrane (GO:0032590)	56	1	.27	+	3.64	2.41E-01	1.00E00
GABA-ergic synapse (GO:0098982)	170	3	.83	+	3.60	5.12E-02	8.80E-01
synaptic vesicle (GO:0008021)	284	5	1.39	+	3.59	1.30E-02	4.90E-01
microbody membrane (GO:0031903)	57	1	.28	+	3.58	2.44E-01	1.00E00
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	57	1	.28	+	3.58	2.44E-01	1.00E00
cleavage furrow (GO:0032154)	57	1	.28	+	3.58	2.44E-01	1.00E00
Golgi cisterna (GO:0031985)	114	2	.56	+	3.58	1.08E-01	1.00E00
peroxisomal membrane (GO:0005778)	57	1	.28	+	3.58	2.44E-01	1.00E00
PML body (GO:0016605)	115	2	.56	+	3.55	1.09E-01	1.00E00
autophagosome (GO:0005776)	116	2	.57	+	3.52	1.11E-01	1.00E00
filopodium (GO:0030175)	118	2	.58	+	3.46	1.14E-01	1.00E00
protein complex involved in cell adhesion (GO:0098636)	59	1	.29	+	3.46	2.52E-01	1.00E00
growth cone (GO:0030426)	237	4	1.16	+	3.44	2.93E-02	7.40E-01
secretory granule membrane (GO:0030667)	119	2	.58	+	3.43	1.16E-01	1.00E00
Cul3-RING ubiquitin ligase complex (GO:0031463)	60	1	.29	+	3.40	2.56E-01	1.00E00
exocytic vesicle (GO:0070382)	301	5	1.47	+	3.39	1.64E-02	5.10E-01
glial cell projection (GO:0097386)	61	1	.30	+	3.35	2.59E-01	1.00E00
sperm midpiece (GO:0097225)	61	1	.30	+	3.35	2.59E-01	1.00E00
site of polarized growth (GO:0030427)	245	4	1.20	+	3.33	3.26E-02	8.01E-01
vesicle coat (GO:0030120)	62	1	.30	+	3.29	2.63E-01	1.00E00
rough endoplasmic reticulum (GO:0005791)	63	1	.31	+	3.24	2.66E-01	1.00E00
ATPase complex (GO:1904949)	127	2	.62	+	3.21	1.29E-01	1.00E00
trans-Golgi network (GO:0005802)	259	4	1.27	+	3.15	3.87E-02	7.95E-01
cytoplasmic ribonucleoprotein granule (GO:0036464)	264	4	1.29	+	3.09	4.10E-02	8.26E-01
nuclear matrix (GO:0016363)	132	2	.65	+	3.09	1.37E-01	1.00E00
phagocytic vesicle (GO:0045335)	133	2	.65	+	3.07	1.39E-01	1.00E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	271	4	1.33	+	3.01	4.44E-02	8.13E-01
condensed nuclear chromosome (GO:0000794)	138	2	.68	+	2.96	1.47E-01	1.00E00
ribonucleoprotein granule (GO:0035770)	282	4	1.38	+	2.89	5.01E-02	8.76E-01
cell division site (GO:0032153)	71	1	.35	+	2.87	2.95E-01	1.00E00
cytosolic region (GO:0099522)	72	1	.35	+	2.83	2.98E-01	1.00E00
nuclear envelope (GO:0005635)	508	7	2.49	+	2.81	1.26E-02	4.91E-01
transport vesicle (GO:0030133)	437	6	2.14	+	2.80	2.07E-02	6.06E-01
synapse (GO:0045202)	1904	26	9.33	+	2.79	1.18E-06	3.37E-04
endosome (GO:0005768)	1032	14	5.06	+	2.77	5.13E-04	7.31E-02
Z disc (GO:0030018)	148	2	.73	+	2.76	1.64E-01	1.00E00
Golgi stack (GO:0005795)	148	2	.73	+	2.76	1.64E-01	1.00E00
Golgi apparatus subcompartment (GO:0098791)	375	5	1.84	+	2.72	3.74E-02	8.01E-01
cell body (GO:0044297)	903	12	4.42	+	2.71	1.57E-03	1.49E-01
neuron to neuron synapse (GO:0098984)	528	7	2.59	+	2.71	1.52E-02	5.15E-01
clathrin-coated pit (GO:0005905)	76	1	.37	+	2.69	3.12E-01	1.00E00
T-tubule (GO:0030315)	76	1	.37	+	2.69	3.12E-01	1.00E00
secretory granule (GO:0030141)	534	7	2.62	+	2.68	1.61E-02	5.10E-01
Golgi apparatus (GO:0005794)	1529	20	7.49	+	2.67	4.74E-05	8.58E-03
secretory vesicle (GO:0099503)	765	10	3.75	+	2.67	4.34E-03	2.99E-01
collagen-containing extracellular matrix (GO:0062023)	391	5	1.92	+	2.61	4.34E-02	8.02E-01
perinuclear region of cytoplasm (GO:0048471)	865	11	4.24	+	2.60	3.45E-03	2.86E-01
postsynaptic density membrane (GO:0098839)	158	2	.77	+	2.58	1.81E-01	1.00E00
sarcoplasmic reticulum (GO:0016529)	81	1	.40	+	2.52	3.29E-01	1.00E00
nuclear periphery (GO:0034399)	162	2	.79	+	2.52	1.89E-01	1.00E00
clathrin-coated vesicle (GO:0030136)	164	2	.80	+	2.49	1.92E-01	1.00E00
I band (GO:0031674)	164	2	.80	+	2.49	1.92E-01	1.00E00
histone deacetylase complex (GO:0000118)	83	1	.41	+	2.46	3.35E-01	1.00E00
neuron projection membrane (GO:0032589)	83	1	.41	+	2.46	3.35E-01	1.00E00
collagen trimer (GO:0005581)	83	1	.41	+	2.46	3.35E-01	1.00E00
vesicle membrane (GO:0012506)	1008	12	4.94	+	2.43	3.85E-03	2.85E-01
coated vesicle (GO:0030135)	254	3	1.24	+	2.41	1.29E-01	1.00E00
endosome membrane (GO:0010008)	508	6	2.49	+	2.41	3.90E-02	7.93E-01
glutamatergic synapse (GO:0098978)	857	10	4.20	+	2.38	9.39E-03	4.80E-01
presynapse (GO:0098793)	868	10	4.25	+	2.35	1.02E-02	4.43E-01
postsynapse (GO:0098794)	1042	12	5.11	+	2.35	5.01E-03	2.85E-01
early endosome (GO:0005769)	446	5	2.19	+	2.29	6.85E-02	1.00E00
cytoplasmic vesicle membrane (GO:0030659)	990	11	4.85	+	2.27	9.24E-03	4.85E-01
neuronal cell body (GO:0043025)	810	9	3.97	+	2.27	1.80E-02	5.45E-01
cell junction (GO:0030054)	2534	28	12.42	+	2.25	2.66E-05	5.30E-03
extracellular space (GO:0005615)	1818	20	8.91	+	2.25	5.73E-04	6.72E-02
endoplasmic reticulum (GO:0005783)	1923	21	9.42	+	2.23	4.27E-04	7.10E-02
postsynaptic density (GO:0014069)	460	5	2.25	+	2.22	7.59E-02	1.00E00
cortical actin cytoskeleton (GO:0030864)	92	1	.45	+	2.22	3.64E-01	1.00E00
endomembrane system (GO:0012505)	4451	48	21.81	+	2.20	1.01E-08	2.01E-05
main axon (GO:0044304)	93	1	.46	+	2.19	3.67E-01	1.00E00
sarcolemma (GO:0042383)	186	2	.91	+	2.19	2.31E-01	1.00E00
SWI/SNF superfamily-type complex (GO:0070603)	94	1	.46	+	2.17	3.70E-01	1.00E00
Golgi membrane (GO:0000139)	569	6	2.79	+	2.15	6.11E-02	9.82E-01
terminal bouton (GO:0043195)	95	1	.47	+	2.15	3.74E-01	1.00E00
vacuolar membrane (GO:0005774)	381	4	1.87	+	2.14	1.18E-01	1.00E00
early endosome membrane (GO:0031901)	192	2	.94	+	2.13	2.42E-01	1.00E00
cytoplasmic vesicle (GO:0031410)	2211	23	10.83	+	2.12	5.19E-04	6.90E-02
intracellular vesicle (GO:0097708)	2219	23	10.87	+	2.12	5.34E-04	6.65E-02
asymmetric synapse (GO:0032279)	484	5	2.37	+	2.11	8.96E-02	1.00E00
synaptonemal complex (GO:0000795)	97	1	.48	+	2.10	3.80E-01	1.00E00
synaptonemal structure (GO:0099086)	97	1	.48	+	2.10	3.80E-01	1.00E00
nuclear chromosome (GO:0000228)	292	3	1.43	+	2.10	1.73E-01	1.00E00
ruffle (GO:0001726)	195	2	.96	+	2.09	2.48E-01	1.00E00
microtubule (GO:0005874)	489	5	2.40	+	2.09	9.26E-02	1.00E00
cytoplasmic stress granule (GO:0010494)	98	1	.48	+	2.08	3.83E-01	1.00E00
Golgi-associated vesicle (GO:0005798)	98	1	.48	+	2.08	3.83E-01	1.00E00
vesicle (GO:0031982)	2353	24	11.53	+	2.08	4.37E-04	6.71E-02
bounding membrane of organelle (GO:0098588)	1876	19	9.19	+	2.07	2.54E-03	2.30E-01
focal adhesion (GO:0005925)	199	2	.98	+	2.05	2.55E-01	1.00E00
membrane coat (GO:0030117)	100	1	.49	+	2.04	3.89E-01	1.00E00
neuron projection cytoplasm (GO:0120111)	100	1	.49	+	2.04	3.89E-01	1.00E00
contractile actin filament bundle (GO:0097517)	100	1	.49	+	2.04	3.89E-01	1.00E00
stress fiber (GO:0001725)	100	1	.49	+	2.04	3.89E-01	1.00E00
P-body (GO:0000932)	100	1	.49	+	2.04	3.89E-01	1.00E00
coated membrane (GO:0048475)	100	1	.49	+	2.04	3.89E-01	1.00E00
intercellular bridge (GO:0045171)	100	1	.49	+	2.04	3.89E-01	1.00E00
vacuole (GO:0005773)	700	7	3.43	+	2.04	8.69E-02	1.00E00
postsynaptic specialization membrane (GO:0099634)	200	2	.98	+	2.04	2.57E-01	1.00E00
postsynaptic membrane (GO:0045211)	406	4	1.99	+	2.01	1.39E-01	1.00E00
ruffle membrane (GO:0032587)	102	1	.50	+	2.00	3.95E-01	1.00E00
leading edge membrane (GO:0031256)	205	2	1.00	+	1.99	2.66E-01	1.00E00
postsynaptic specialization (GO:0099572)	513	5	2.51	+	1.99	1.08E-01	1.00E00
organelle envelope (GO:0031967)	1338	13	6.56	+	1.98	2.29E-02	6.51E-01
receptor complex (GO:0043235)	415	4	2.03	+	1.97	1.47E-01	1.00E00
extracellular matrix (GO:0031012)	521	5	2.55	+	1.96	1.13E-01	1.00E00
external encapsulating structure (GO:0030312)	523	5	2.56	+	1.95	1.14E-01	1.00E00
mitochondrial outer membrane (GO:0005741)	210	2	1.03	+	1.94	2.75E-01	1.00E00
extracellular region (GO:0005576)	2542	24	12.46	+	1.93	1.31E-03	1.38E-01
caveola (GO:0005901)	106	1	.52	+	1.93	4.07E-01	1.00E00
distal axon (GO:0150034)	424	4	2.08	+	1.93	1.55E-01	1.00E00
cell-substrate junction (GO:0030055)	213	2	1.04	+	1.92	2.80E-01	1.00E00
mitochondrion (GO:0005739)	1929	18	9.45	+	1.90	8.96E-03	4.83E-01
actin cytoskeleton (GO:0015629)	540	5	2.65	+	1.89	1.94E-01	1.00E00
external side of plasma membrane (GO:0009897)	544	5	2.67	+	1.88	1.96E-01	1.00E00
sarcoplasm (GO:0016528)	109	1	.53	+	1.87	4.15E-01	1.00E00
actomyosin (GO:0042641)	109	1	.53	+	1.87	4.15E-01	1.00E00
somatodendritic compartment (GO:0036477)	1204	11	5.90	+	1.86	5.04E-02	8.75E-01
actin filament bundle (GO:0032432)	110	1	.54	+	1.86	4.18E-01	1.00E00
respiratory chain complex (GO:0098803)	111	1	.54	+	1.84	4.21E-01	1.00E00
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	112	1	.55	+	1.82	4.24E-01	1.00E00
organelle subcompartment (GO:0031984)	1467	13	7.19	+	1.81	3.22E-02	8.02E-01
perikaryon (GO:0043204)	226	2	1.11	+	1.81	3.04E-01	1.00E00
membrane raft (GO:0045121)	343	3	1.68	+	1.78	2.37E-01	1.00E00
endoplasmic reticulum membrane (GO:0005789)	1148	10	5.63	+	1.78	7.63E-02	1.00E00
membrane microdomain (GO:0098857)	345	3	1.69	+	1.77	2.39E-01	1.00E00
endoplasmic reticulum subcompartment (GO:0098827)	1155	10	5.66	+	1.77	7.75E-02	1.00E00
mitochondrial membrane (GO:0031966)	813	7	3.98	+	1.76	1.22E-01	1.00E00
sarcomere (GO:0030017)	233	2	1.14	+	1.75	3.17E-01	1.00E00
organelle membrane (GO:0031090)	3496	30	17.13	+	1.75	1.40E-03	1.40E-01
synaptic membrane (GO:0097060)	583	5	2.86	+	1.75	2.13E-01	1.00E00
endocytic vesicle (GO:0030139)	235	2	1.15	+	1.74	3.20E-01	1.00E00
lytic vacuole (GO:0000323)	588	5	2.88	+	1.74	2.16E-01	1.00E00
lysosome (GO:0005764)	588	5	2.88	+	1.74	2.16E-01	1.00E00
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	1177	10	5.77	+	1.73	8.16E-02	1.00E00
transmembrane transporter complex (GO:1902495)	481	4	2.36	+	1.70	3.02E-01	1.00E00
outer membrane (GO:0019867)	242	2	1.19	+	1.69	3.33E-01	1.00E00
organelle outer membrane (GO:0031968)	242	2	1.19	+	1.69	3.33E-01	1.00E00
basement membrane (GO:0005604)	122	1	.60	+	1.67	4.52E-01	1.00E00
cortical cytoskeleton (GO:0030863)	122	1	.60	+	1.67	4.52E-01	1.00E00
plasma membrane protein complex (GO:0098797)	613	5	3.00	+	1.66	2.30E-01	1.00E00
axon (GO:0030424)	861	7	4.22	+	1.66	2.02E-01	1.00E00
mitochondrial envelope (GO:0005740)	864	7	4.23	+	1.65	2.03E-01	1.00E00
endoplasmic reticulum lumen (GO:0005788)	126	1	.62	+	1.62	4.62E-01	1.00E00
cell surface (GO:0009986)	1135	9	5.56	+	1.62	1.27E-01	1.00E00
polymeric cytoskeletal fiber (GO:0099513)	757	6	3.71	+	1.62	2.78E-01	1.00E00
transporter complex (GO:1990351)	506	4	2.48	+	1.61	3.17E-01	1.00E00
supramolecular complex (GO:0099080)	1402	11	6.87	+	1.60	1.11E-01	1.00E00
actin filament (GO:0005884)	128	1	.63	+	1.59	4.68E-01	1.00E00
myofibril (GO:0030016)	259	2	1.27	+	1.58	3.63E-01	1.00E00
contractile muscle fiber (GO:0043292)	268	2	1.31	+	1.52	3.79E-01	1.00E00
presynaptic membrane (GO:0042734)	271	2	1.33	+	1.51	3.84E-01	1.00E00
mitochondrial inner membrane (GO:0005743)	543	4	2.66	+	1.50	3.43E-01	1.00E00
actin-based cell projection (GO:0098858)	273	2	1.34	+	1.50	3.88E-01	1.00E00
membrane protein complex (GO:0098796)	1260	9	6.17	+	1.46	2.14E-01	1.00E00
intracellular membrane-bounded organelle (GO:0043231)	11792	84	57.78	+	1.45	1.58E-07	1.57E-04
nuclear speck (GO:0016607)	424	3	2.08	+	1.44	4.67E-01	1.00E00
cytoplasm (GO:0005737)	11812	83	57.88	+	1.43	7.26E-07	3.62E-04
nuclear body (GO:0016604)	854	6	4.18	+	1.43	3.16E-01	1.00E00
intermediate filament (GO:0005882)	143	1	.70	+	1.43	5.06E-01	1.00E00
oxidoreductase complex (GO:1990204)	144	1	.71	+	1.42	5.08E-01	1.00E00
plasma membrane raft (GO:0044853)	145	1	.71	+	1.41	5.11E-01	1.00E00
supramolecular fiber (GO:0099512)	1021	7	5.00	+	1.40	3.52E-01	1.00E00
membrane-bounded organelle (GO:0043227)	12297	84	60.26	+	1.39	1.92E-06	4.79E-04
