




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER Pathways	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
Sulfate assimilation (P02778)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Succinate to proprionate conversion (P02777)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
Serine glycine biosynthesis (P02776)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
Salvage pyrimidine ribonucleotides (P02775)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
Salvage pyrimidine deoxyribonucleotides (P02774)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine biosynthesis (P02773)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
Pyruvate metabolism (P02772)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
Pyridoxal phosphate salvage pathway (P02770)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Bupropion degradation (P05729)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Anandamide degradation (P05728)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Proline biosynthesis (P02768)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
Phenylethylamine degradation (P02766)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
Pentose phosphate pathway (P02762)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
Nicotine degradation (P05914)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
Pyridoxal-5-phosphate biosynthesis (P02759)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
Ornithine degradation (P02758)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
O-antigen biosynthesis (P02757)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine metabolism (P02756)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
Methylmalonyl pathway (P02755)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
Methylcitrate cycle (P02754)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
Methionine biosynthesis (P02753)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Mannose metabolism (P02752)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
Lysine biosynthesis (P02751)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Lipoate_biosynthesis (P02750)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Leucine biosynthesis (P02749)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
Isoleucine biosynthesis (P02748)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
Heme biosynthesis (P02746)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
Glutamine glutamate conversion (P02745)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
Fructose galactose metabolism (P02744)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
Formyltetrahydrofolate biosynthesis (P02743)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
Tetrahydrofolate biosynthesis (P02742)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
Flavin biosynthesis (P02741)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
De novo pyrimidine ribonucleotides biosythesis (P02740)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
Toll receptor signaling pathway (P00054)	55	0	.92	-	 < 0.01	1.00E00	1.00E00
TCA cycle (P00051)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
Vitamin D metabolism and pathway (P04396)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
Plasminogen activating cascade (P00050)	17	0	.28	-	 < 0.01	1.00E00	1.00E00
Vasopressin synthesis (P04395)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
De novo pyrimidine deoxyribonucleotide biosynthesis (P02739)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
P53 pathway feedback loops 1 (P04392)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
De novo purine biosynthesis (P02738)	29	0	.48	-	 < 0.01	1.00E00	1.00E00
Cysteine biosynthesis (P02737)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Cobalamin biosynthesis (P02735)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Carnitine metabolism (P02733)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Coenzyme A linked carnitine metabolism (P02732)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Asparagine and aspartate biosynthesis (P02730)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
Parkinson disease (P00049)	92	0	1.53	-	 < 0.01	4.11E-01	9.72E-01
Notch signaling pathway (P00045)	43	0	.72	-	 < 0.01	1.00E00	1.00E00
Histamine synthesis (P04387)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Gamma-aminobutyric acid synthesis (P04384)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
Ascorbate degradation (P02729)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
Androgen/estrogene/progesterone biosynthesis (P02727)	17	0	.28	-	 < 0.01	1.00E00	1.00E00
Aminobutyrate degradation (P02726)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Allantoin degradation (P02725)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Alanine biosynthesis (P02724)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
Adenine and hypoxanthine salvage pathway (P02723)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
Acetate utilization (P02722)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
ATP synthesis (P02721)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
5HT3 type receptor mediated signaling pathway (P04375)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
5-Hydroxytryptamine degredation (P04372)	24	0	.40	-	 < 0.01	1.00E00	1.00E00
5-Hydroxytryptamine biosynthesis (P04371)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
Hedgehog signaling pathway (P00025)	20	0	.33	-	 < 0.01	1.00E00	1.00E00
FAS signaling pathway (P00020)	33	0	.55	-	 < 0.01	1.00E00	1.00E00
DNA replication (P00017)	26	0	.43	-	 < 0.01	1.00E00	1.00E00
Circadian clock system (P00015)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
Cholesterol biosynthesis (P00014)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
Cell cycle (P00013)	24	0	.40	-	 < 0.01	1.00E00	1.00E00
Axon guidance mediated by netrin (P00009)	35	0	.58	-	 < 0.01	1.00E00	1.00E00
