




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
microvesicle (GO:1990742)	11	1	.18	+	5.45	1.69E-01	1.00E00
cerebellar climbing fiber to Purkinje cell synapse (GO:0150053)	11	1	.18	+	5.45	1.69E-01	1.00E00
perisynaptic extracellular matrix (GO:0098966)	11	1	.18	+	5.45	1.69E-01	1.00E00
nucleocytoplasmic transport complex (GO:0031074)	11	1	.18	+	5.45	1.69E-01	1.00E00
semaphorin receptor complex (GO:0002116)	11	1	.18	+	5.45	1.69E-01	1.00E00
postsynaptic cytosol (GO:0099524)	47	4	.78	+	5.11	7.71E-03	1.75E-01
cytosolic region (GO:0099522)	72	6	1.20	+	5.00	1.28E-03	4.80E-02
extrinsic component of postsynaptic specialization membrane (GO:0098892)	12	1	.20	+	5.00	1.83E-01	1.00E00
proton-transporting V-type ATPase, V1 domain (GO:0033180)	12	1	.20	+	5.00	1.83E-01	1.00E00
vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)	12	1	.20	+	5.00	1.83E-01	1.00E00
transcription factor TFIIH holo complex (GO:0005675)	12	1	.20	+	5.00	1.83E-01	1.00E00
dendritic growth cone (GO:0044294)	12	1	.20	+	5.00	1.83E-01	1.00E00
sodium:potassium-exchanging ATPase complex (GO:0005890)	12	1	.20	+	5.00	1.83E-01	1.00E00
NADPH oxidase complex (GO:0043020)	12	1	.20	+	5.00	1.83E-01	1.00E00
palmitoyltransferase complex (GO:0002178)	12	1	.20	+	5.00	1.83E-01	1.00E00
astrocyte end-foot (GO:0097450)	12	1	.20	+	5.00	1.83E-01	1.00E00
presynaptic cytosol (GO:0099523)	49	4	.82	+	4.90	8.92E-03	1.93E-01
dendrite cytoplasm (GO:0032839)	37	3	.62	+	4.86	2.35E-02	3.84E-01
astrocyte projection (GO:0097449)	25	2	.42	+	4.80	6.46E-02	7.20E-01
cytoplasmic dynein complex (GO:0005868)	25	2	.42	+	4.80	6.46E-02	7.16E-01
presynaptic membrane (GO:0042734)	271	21	4.52	+	4.65	6.37E-09	8.47E-07
SUMO ligase complex (GO:0106068)	13	1	.22	+	4.61	1.96E-01	1.00E00
nuclear pore nuclear basket (GO:0044615)	13	1	.22	+	4.61	1.96E-01	1.00E00
nuclear inclusion body (GO:0042405)	13	1	.22	+	4.61	1.96E-01	1.00E00
AP-3 adaptor complex (GO:0030123)	13	1	.22	+	4.61	1.96E-01	1.00E00
chromatin silencing complex (GO:0005677)	13	1	.22	+	4.61	1.96E-01	1.00E00
postsynaptic cytoskeleton (GO:0099571)	26	2	.43	+	4.61	6.93E-02	7.12E-01
synapse-associated extracellular matrix (GO:0099535)	13	1	.22	+	4.61	1.96E-01	1.00E00
WASH complex (GO:0071203)	13	1	.22	+	4.61	1.96E-01	1.00E00
preribosome, small subunit precursor (GO:0030688)	13	1	.22	+	4.61	1.96E-01	1.00E00
neurofilament (GO:0005883)	13	1	.22	+	4.61	1.96E-01	1.00E00
HOPS complex (GO:0030897)	13	1	.22	+	4.61	1.96E-01	1.00E00
multivesicular body (GO:0005771)	65	5	1.08	+	4.61	4.56E-03	1.17E-01
trans-Golgi network membrane (GO:0032588)	55	4	.92	+	4.36	1.33E-02	2.48E-01
uropod (GO:0001931)	14	1	.23	+	4.28	2.10E-01	1.00E00
perinuclear endoplasmic reticulum (GO:0097038)	28	2	.47	+	4.28	7.89E-02	7.86E-01
nuclear envelope lumen (GO:0005641)	14	1	.23	+	4.28	2.10E-01	1.00E00
inhibitory synapse (GO:0060077)	28	2	.47	+	4.28	7.89E-02	7.82E-01
dynein complex (GO:0030286)	57	4	.95	+	4.21	1.50E-02	2.67E-01
exocytic vesicle membrane (GO:0099501)	173	12	2.88	+	4.16	3.53E-05	2.35E-03
synaptic vesicle membrane (GO:0030672)	173	12	2.88	+	4.16	3.53E-05	2.27E-03
axonal growth cone (GO:0044295)	44	3	.73	+	4.09	3.68E-02	4.99E-01
dendritic spine head (GO:0044327)	15	1	.25	+	4.00	2.23E-01	1.00E00
early phagosome (GO:0032009)	15	1	.25	+	4.00	2.23E-01	1.00E00
cell trailing edge (GO:0031254)	15	1	.25	+	4.00	2.23E-01	1.00E00
Golgi cis cisterna (GO:0000137)	15	1	.25	+	4.00	2.23E-01	1.00E00
mitotic spindle midzone (GO:1990023)	15	1	.25	+	4.00	2.23E-01	1.00E00
zymogen granule (GO:0042588)	30	2	.50	+	4.00	8.88E-02	8.24E-01
chromaffin granule (GO:0042583)	15	1	.25	+	4.00	2.23E-01	1.00E00
dense core granule (GO:0031045)	60	4	1.00	+	4.00	1.78E-02	3.04E-01
proximal dendrite (GO:1990635)	15	1	.25	+	4.00	2.23E-01	1.00E00
cuticular plate (GO:0032437)	15	1	.25	+	4.00	2.23E-01	1.00E00
cell-cell contact zone (GO:0044291)	92	6	1.53	+	3.91	4.41E-03	1.14E-01
COPI-coated vesicle (GO:0030137)	31	2	.52	+	3.87	9.39E-02	8.63E-01
presynaptic active zone (GO:0048786)	140	9	2.33	+	3.86	5.81E-04	2.69E-02
cytoplasmic exosome (RNase complex) (GO:0000177)	16	1	.27	+	3.75	2.36E-01	1.00E00
radial spoke (GO:0001534)	16	1	.27	+	3.75	2.36E-01	1.00E00
potassium channel complex (GO:0034705)	96	6	1.60	+	3.75	5.43E-03	1.32E-01
acetylcholine-gated channel complex (GO:0005892)	16	1	.27	+	3.75	2.36E-01	1.00E00
protein complex involved in cell-matrix adhesion (GO:0098637)	16	1	.27	+	3.75	2.36E-01	1.00E00
extrinsic component of plasma membrane (GO:0019897)	129	8	2.15	+	3.72	1.46E-03	5.41E-02
lysosomal lumen (GO:0043202)	33	2	.55	+	3.64	1.04E-01	9.25E-01
transport vesicle membrane (GO:0030658)	250	15	4.17	+	3.60	2.16E-05	1.59E-03
intercalated disc (GO:0014704)	67	4	1.12	+	3.58	2.56E-02	4.05E-01
secretory granule membrane (GO:0030667)	119	7	1.98	+	3.53	3.84E-03	1.05E-01
nuclear lamina (GO:0005652)	17	1	.28	+	3.53	2.49E-01	1.00E00
nuclear outer membrane (GO:0005640)	34	2	.57	+	3.53	1.10E-01	9.52E-01
SMN-Sm protein complex (GO:0034719)	17	1	.28	+	3.53	2.49E-01	1.00E00
lamellar body (GO:0042599)	17	1	.28	+	3.53	2.49E-01	1.00E00
FAR/SIN/STRIPAK complex (GO:0090443)	17	1	.28	+	3.53	2.49E-01	1.00E00
chromocenter (GO:0010369)	17	1	.28	+	3.53	2.49E-01	1.00E00
extrinsic component of presynaptic membrane (GO:0098888)	18	1	.30	+	3.33	2.61E-01	1.00E00
proton-transporting two-sector ATPase complex, catalytic domain (GO:0033178)	18	1	.30	+	3.33	2.61E-01	1.00E00
presynaptic endocytic zone (GO:0098833)	18	1	.30	+	3.33	2.61E-01	1.00E00
calyx of Held (GO:0044305)	36	2	.60	+	3.33	1.21E-01	1.00E00
sperm head-tail coupling apparatus (GO:0120212)	18	1	.30	+	3.33	2.61E-01	1.00E00
U1 snRNP (GO:0005685)	18	1	.30	+	3.33	2.61E-01	1.00E00
protein phosphatase type 2A complex (GO:0000159)	18	1	.30	+	3.33	2.61E-01	1.00E00
Golgi cisterna membrane (GO:0032580)	72	4	1.20	+	3.33	3.22E-02	4.80E-01
preribosome, large subunit precursor (GO:0030687)	18	1	.30	+	3.33	2.61E-01	1.00E00
photoreceptor ribbon synapse (GO:0098684)	18	1	.30	+	3.33	2.61E-01	1.00E00
myosin complex (GO:0016459)	55	3	.92	+	3.27	6.39E-02	7.16E-01
cytoplasmic side of plasma membrane (GO:0009898)	168	9	2.80	+	3.21	2.09E-03	6.73E-02
exocytic vesicle (GO:0070382)	301	16	5.02	+	3.19	5.03E-05	3.04E-03
synaptic vesicle (GO:0008021)	284	15	4.73	+	3.17	9.24E-05	5.42E-03
postsynaptic actin cytoskeleton (GO:0098871)	19	1	.32	+	3.16	2.74E-01	1.00E00
integrator complex (GO:0032039)	19	1	.32	+	3.16	2.74E-01	1.00E00
terminal bouton (GO:0043195)	95	5	1.58	+	3.16	2.14E-02	3.59E-01
vacuolar lumen (GO:0005775)	38	2	.63	+	3.16	1.32E-01	1.00E00
glutamatergic synapse (GO:0098978)	857	45	14.29	+	3.15	1.01E-11	2.53E-09
cation channel complex (GO:0034703)	216	11	3.60	+	3.05	1.05E-03	4.04E-02
transport vesicle (GO:0030133)	437	22	7.28	+	3.02	4.83E-06	4.01E-04
neuron projection cytoplasm (GO:0120111)	100	5	1.67	+	3.00	2.61E-02	4.06E-01
axolemma (GO:0030673)	20	1	.33	+	3.00	2.86E-01	1.00E00
asymmetric, glutamatergic, excitatory synapse (GO:0098985)	20	1	.33	+	3.00	2.86E-01	1.00E00
zymogen granule membrane (GO:0042589)	20	1	.33	+	3.00	2.86E-01	1.00E00
glial cell projection (GO:0097386)	61	3	1.02	+	2.95	8.16E-02	7.71E-01
dendritic spine (GO:0043197)	244	12	4.07	+	2.95	8.58E-04	3.64E-02
voltage-gated potassium channel complex (GO:0008076)	82	4	1.37	+	2.93	4.82E-02	6.25E-01
brush border membrane (GO:0031526)	82	4	1.37	+	2.93	4.82E-02	6.21E-01
presynapse (GO:0098793)	868	42	14.47	+	2.90	6.46E-10	1.07E-07
neuron spine (GO:0044309)	249	12	4.15	+	2.89	1.02E-03	4.00E-02
dendrite (GO:0030425)	855	41	14.25	+	2.88	1.37E-09	2.10E-07
dendritic tree (GO:0097447)	857	41	14.29	+	2.87	1.46E-09	2.09E-07
dendrite terminus (GO:0044292)	21	1	.35	+	2.86	2.98E-01	1.00E00
excitatory synapse (GO:0060076)	105	5	1.75	+	2.86	3.13E-02	4.76E-01
GABA receptor complex (GO:1902710)	21	1	.35	+	2.86	2.98E-01	1.00E00
cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	21	1	.35	+	2.86	2.98E-01	1.00E00
microtubule associated complex (GO:0005875)	148	7	2.47	+	2.84	1.22E-02	2.39E-01
Golgi stack (GO:0005795)	148	7	2.47	+	2.84	1.22E-02	2.36E-01
cytoplasmic side of membrane (GO:0098562)	213	10	3.55	+	2.82	3.17E-03	9.16E-02
extrinsic component of membrane (GO:0019898)	192	9	3.20	+	2.81	5.06E-03	1.26E-01
brush border (GO:0005903)	150	7	2.50	+	2.80	1.31E-02	2.48E-01
parallel fiber to Purkinje cell synapse (GO:0098688)	43	2	.72	+	2.79	1.61E-01	1.00E00
growth cone (GO:0030426)	237	11	3.95	+	2.78	2.20E-03	6.96E-02
synaptic membrane (GO:0097060)	583	27	9.72	+	2.78	1.97E-06	1.71E-04
synapse (GO:0045202)	1904	87	31.74	+	2.74	1.74E-18	3.46E-15
presynaptic active zone cytoplasmic component (GO:0098831)	22	1	.37	+	2.73	3.09E-01	1.00E00
Sin3-type complex (GO:0070822)	22	1	.37	+	2.73	3.09E-01	1.00E00
exosome (RNase complex) (GO:0000178)	22	1	.37	+	2.73	3.09E-01	1.00E00
carboxy-terminal domain protein kinase complex (GO:0032806)	22	1	.37	+	2.73	3.09E-01	1.00E00
axon (GO:0030424)	861	39	14.35	+	2.72	1.69E-08	2.11E-06
neuromuscular junction (GO:0031594)	111	5	1.85	+	2.70	3.84E-02	5.10E-01
site of polarized growth (GO:0030427)	245	11	4.08	+	2.69	2.84E-03	8.33E-02
distal axon (GO:0150034)	424	19	7.07	+	2.69	1.02E-04	5.82E-03
cation-transporting ATPase complex (GO:0090533)	45	2	.75	+	2.67	1.73E-01	1.00E00
perikaryon (GO:0043204)	226	10	3.77	+	2.65	4.81E-03	1.21E-01
somatodendritic compartment (GO:0036477)	1204	53	20.07	+	2.64	9.57E-11	1.74E-08
Golgi cisterna (GO:0031985)	114	5	1.90	+	2.63	4.22E-02	5.58E-01
neuron to neuron synapse (GO:0098984)	528	23	8.80	+	2.61	3.01E-05	2.07E-03
neuron projection terminus (GO:0044306)	230	10	3.83	+	2.61	5.43E-03	1.30E-01
lamellipodium membrane (GO:0031258)	23	1	.38	+	2.61	3.21E-01	1.00E00
myosin filament (GO:0032982)	23	1	.38	+	2.61	3.21E-01	1.00E00
peptidase inhibitor complex (GO:1904090)	23	1	.38	+	2.61	3.21E-01	1.00E00
DNA repair complex (GO:1990391)	23	1	.38	+	2.61	3.21E-01	1.00E00
axon terminus (GO:0043679)	208	9	3.47	+	2.60	8.40E-03	1.86E-01
neuronal cell body (GO:0043025)	810	35	13.50	+	2.59	2.96E-07	2.95E-05
cell body (GO:0044297)	903	39	15.05	+	2.59	6.01E-08	6.66E-06
sarcolemma (GO:0042383)	186	8	3.10	+	2.58	1.30E-02	2.50E-01
ATPase dependent transmembrane transport complex (GO:0098533)	47	2	.78	+	2.55	1.85E-01	1.00E00
extracellular vesicle (GO:1903561)	118	5	1.97	+	2.54	4.78E-02	6.22E-01
extrinsic component of postsynaptic membrane (GO:0098890)	24	1	.40	+	2.50	3.32E-01	1.00E00
extracellular exosome (GO:0070062)	96	4	1.60	+	2.50	7.68E-02	7.70E-01
Golgi medial cisterna (GO:0005797)	24	1	.40	+	2.50	3.32E-01	1.00E00
microvillus (GO:0005902)	121	5	2.02	+	2.48	5.22E-02	6.08E-01
GABA-ergic synapse (GO:0098982)	170	7	2.83	+	2.47	2.42E-02	3.86E-01
cytoplasmic stress granule (GO:0010494)	98	4	1.63	+	2.45	8.14E-02	7.73E-01
neuron projection (GO:0043005)	1642	67	27.37	+	2.45	6.64E-12	2.21E-09
plasma membrane protein complex (GO:0098797)	613	25	10.22	+	2.45	4.04E-05	2.52E-03
recycling endosome membrane (GO:0055038)	99	4	1.65	+	2.42	8.38E-02	7.85E-01
monoatomic ion channel complex (GO:0034702)	348	14	5.80	+	2.41	2.25E-03	6.92E-02
cluster of actin-based cell projections (GO:0098862)	224	9	3.73	+	2.41	1.32E-02	2.48E-01
extrinsic component of synaptic vesicle membrane (GO:0098850)	25	1	.42	+	2.40	3.43E-01	1.00E00
myosin II complex (GO:0016460)	25	1	.42	+	2.40	3.43E-01	1.00E00
exoribonuclease complex (GO:1905354)	25	1	.42	+	2.40	3.43E-01	1.00E00
immunological synapse (GO:0001772)	50	2	.83	+	2.40	2.03E-01	1.00E00
extracellular organelle (GO:0043230)	127	5	2.12	+	2.36	6.17E-02	7.07E-01
extracellular membrane-bounded organelle (GO:0065010)	127	5	2.12	+	2.36	6.17E-02	7.03E-01
apical plasma membrane (GO:0016324)	484	19	8.07	+	2.35	8.06E-04	3.49E-02
nuclear pore (GO:0005643)	77	3	1.28	+	2.34	1.37E-01	1.00E00
recycling endosome (GO:0055037)	206	8	3.43	+	2.33	2.26E-02	3.76E-01
receptor complex (GO:0043235)	415	16	6.92	+	2.31	2.62E-03	7.78E-02
core mediator complex (GO:0070847)	26	1	.43	+	2.31	3.54E-01	1.00E00
P granule (GO:0043186)	26	1	.43	+	2.31	3.54E-01	1.00E00
vacuolar proton-transporting V-type ATPase complex (GO:0016471)	26	1	.43	+	2.31	3.54E-01	1.00E00
germ plasm (GO:0060293)	26	1	.43	+	2.31	3.54E-01	1.00E00
pole plasm (GO:0045495)	26	1	.43	+	2.31	3.54E-01	1.00E00
collagen-containing extracellular matrix (GO:0062023)	391	15	6.52	+	2.30	3.83E-03	1.06E-01
postsynaptic density membrane (GO:0098839)	158	6	2.63	+	2.28	4.94E-02	5.90E-01
myelin sheath (GO:0043209)	211	8	3.52	+	2.27	2.56E-02	4.02E-01
cell junction (GO:0030054)	2534	96	42.24	+	2.27	4.75E-15	4.73E-12
postsynaptic density, intracellular component (GO:0099092)	53	2	.88	+	2.26	2.21E-01	1.00E00
asymmetric synapse (GO:0032279)	484	18	8.07	+	2.23	1.64E-03	5.65E-02
melanosome (GO:0042470)	108	4	1.80	+	2.22	1.07E-01	9.41E-01
clathrin-coated endocytic vesicle (GO:0045334)	27	1	.45	+	2.22	3.65E-01	1.00E00
pigment granule (GO:0048770)	108	4	1.80	+	2.22	1.07E-01	9.37E-01
sarcoplasmic reticulum (GO:0016529)	81	3	1.35	+	2.22	1.53E-01	1.00E00
apical part of cell (GO:0045177)	595	22	9.92	+	2.22	4.94E-04	2.35E-02
postsynaptic density (GO:0014069)	460	17	7.67	+	2.22	2.38E-03	7.20E-02
plasma membrane region (GO:0098590)	1546	57	25.77	+	2.21	2.06E-08	2.41E-06
sarcoplasm (GO:0016528)	109	4	1.82	+	2.20	1.09E-01	9.52E-01
Sm-like protein family complex (GO:0120114)	82	3	1.37	+	2.19	1.57E-01	1.00E00
postsynapse (GO:0098794)	1042	38	17.37	+	2.19	8.53E-06	6.80E-04
late endosome membrane (GO:0031902)	168	6	2.80	+	2.14	6.28E-02	7.08E-01
Cajal body (GO:0015030)	56	2	.93	+	2.14	2.40E-01	1.00E00
transmembrane transporter complex (GO:1902495)	481	17	8.02	+	2.12	3.41E-03	9.72E-02
cleavage furrow (GO:0032154)	57	2	.95	+	2.10	2.46E-01	1.00E00
cell projection (GO:0042995)	2746	95	45.78	+	2.08	2.17E-12	8.65E-10
plasma membrane bounded cell projection (GO:0120025)	2632	91	43.87	+	2.07	9.47E-12	2.70E-09
proton-transporting V-type ATPase complex (GO:0033176)	29	1	.48	+	2.07	3.86E-01	1.00E00
M band (GO:0031430)	29	1	.48	+	2.07	3.86E-01	1.00E00
apicolateral plasma membrane (GO:0016327)	29	1	.48	+	2.07	3.86E-01	1.00E00
nuclear membrane (GO:0031965)	321	11	5.35	+	2.06	2.38E-02	3.86E-01
secretory vesicle (GO:0099503)	765	26	12.75	+	2.04	7.27E-04	3.22E-02
