




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
G protein-coupled GABA receptor complex (GO:1902712)	2	1	.13	+	7.74	1.25E-01	5.35E-01
extrinsic component of neuronal dense core vesicle membrane (GO:0098674)	2	1	.13	+	7.74	1.25E-01	5.34E-01
meiotic spindle midzone (GO:1990385)	2	1	.13	+	7.74	1.25E-01	5.33E-01
storage vacuole (GO:0000322)	4	2	.26	+	7.74	2.29E-02	1.63E-01
extrinsic component of dense core granule membrane (GO:0098922)	2	1	.13	+	7.74	1.25E-01	5.32E-01
integrin alphav-beta5 complex (GO:0034684)	2	1	.13	+	7.74	1.25E-01	5.31E-01
mitotic checkpoint complex (GO:0033597)	4	2	.26	+	7.74	2.29E-02	1.63E-01
C/EBP complex (GO:1990647)	2	1	.13	+	7.74	1.25E-01	5.29E-01
integrin alpha3-beta1 complex (GO:0034667)	2	1	.13	+	7.74	1.25E-01	5.28E-01
multimerin complex (GO:1990972)	2	1	.13	+	7.74	1.25E-01	5.27E-01
EMILIN complex (GO:1990971)	2	1	.13	+	7.74	1.25E-01	5.26E-01
IRE1-TRAF2-ASK1 complex (GO:1990604)	4	2	.26	+	7.74	2.29E-02	1.62E-01
cytoplasmic microtubule plus-end (GO:1904511)	2	1	.13	+	7.74	1.25E-01	5.25E-01
cortical microtubule plus-end (GO:1903754)	2	1	.13	+	7.74	1.25E-01	5.24E-01
cytoskeleton of presynaptic active zone (GO:0048788)	2	1	.13	+	7.74	1.25E-01	5.23E-01
BAK complex (GO:0097145)	2	1	.13	+	7.74	1.25E-01	5.22E-01
cyclin E2-CDK2 complex (GO:0097135)	2	1	.13	+	7.74	1.25E-01	5.21E-01
cyclin D1-CDK6 complex (GO:0097131)	2	1	.13	+	7.74	1.25E-01	5.20E-01
cyclin D3-CDK4 complex (GO:0097130)	2	1	.13	+	7.74	1.25E-01	5.18E-01
cyclin B1-CDK1 complex (GO:0097125)	2	1	.13	+	7.74	1.25E-01	5.17E-01
microspike (GO:0044393)	4	2	.26	+	7.74	2.29E-02	1.62E-01
postsynaptic specialization of symmetric synapse (GO:0099629)	4	2	.26	+	7.74	2.29E-02	1.61E-01
DNA replication preinitiation complex (GO:0031261)	13	6	.84	+	7.14	8.33E-05	1.69E-03
hemoglobin complex (GO:0005833)	11	5	.71	+	7.03	3.72E-04	6.62E-03
MCM complex (GO:0042555)	11	5	.71	+	7.03	3.72E-04	6.56E-03
axon hillock (GO:0043203)	9	4	.58	+	6.88	1.68E-03	2.28E-02
symmetric synapse (GO:0032280)	9	4	.58	+	6.88	1.68E-03	2.27E-02
haptoglobin-hemoglobin complex (GO:0031838)	12	5	.78	+	6.45	6.04E-04	9.87E-03
subapical complex (GO:0035003)	5	2	.32	+	6.19	3.66E-02	2.38E-01
GINS complex (GO:0000811)	5	2	.32	+	6.19	3.66E-02	2.38E-01
proximal neuron projection (GO:1990769)	5	2	.32	+	6.19	3.66E-02	2.37E-01
platelet dense tubular network (GO:0031094)	5	2	.32	+	6.19	3.66E-02	2.36E-01
dense core granule membrane (GO:0032127)	10	4	.65	+	6.19	2.66E-03	3.25E-02
neurofilament (GO:0005883)	13	5	.84	+	5.95	9.29E-04	1.40E-02
nuclear stress granule (GO:0097165)	8	3	.52	+	5.80	1.18E-02	1.03E-01
CHOP-C/EBP complex (GO:0036488)	3	1	.19	+	5.16	1.82E-01	6.78E-01
PeBoW complex (GO:0070545)	3	1	.19	+	5.16	1.82E-01	6.77E-01
CAF-1 complex (GO:0033186)	3	1	.19	+	5.16	1.82E-01	6.76E-01
perinuclear endoplasmic reticulum membrane (GO:1990578)	3	1	.19	+	5.16	1.82E-01	6.74E-01
Ku70:Ku80 complex (GO:0043564)	3	1	.19	+	5.16	1.82E-01	6.73E-01
Myc-Max complex (GO:0071943)	3	1	.19	+	5.16	1.82E-01	6.72E-01
procollagen-proline 4-dioxygenase complex (GO:0016222)	3	1	.19	+	5.16	1.82E-01	6.71E-01
type III intermediate filament (GO:0045098)	6	2	.39	+	5.16	5.26E-02	3.07E-01
nitric-oxide synthase complex (GO:1903958)	3	1	.19	+	5.16	1.82E-01	6.69E-01
glutamatergic postsynaptic density (GO:0099573)	3	1	.19	+	5.16	1.82E-01	6.68E-01
lamin filament (GO:0005638)	6	2	.39	+	5.16	5.26E-02	3.07E-01
ribonucleoside-diphosphate reductase complex (GO:0005971)	3	1	.19	+	5.16	1.82E-01	6.67E-01
laminin-1 complex (GO:0005606)	3	1	.19	+	5.16	1.82E-01	6.66E-01
glycine cleavage complex (GO:0005960)	3	1	.19	+	5.16	1.82E-01	6.64E-01
BAT3 complex (GO:0071818)	3	1	.19	+	5.16	1.82E-01	6.63E-01
RZZ complex (GO:1990423)	3	1	.19	+	5.16	1.82E-01	6.62E-01
PAR polarity complex (GO:0120157)	3	1	.19	+	5.16	1.82E-01	6.61E-01
proteasome activator complex (GO:0008537)	3	1	.19	+	5.16	1.82E-01	6.60E-01
pICln-Sm protein complex (GO:0034715)	6	2	.39	+	5.16	5.26E-02	3.06E-01
methylosome (GO:0034709)	12	4	.78	+	5.16	5.65E-03	5.75E-02
collagen type V trimer (GO:0005588)	3	1	.19	+	5.16	1.82E-01	6.58E-01
cortical microtubule (GO:0055028)	3	1	.19	+	5.16	1.82E-01	6.57E-01
NF-kappaB complex (GO:0071159)	3	1	.19	+	5.16	1.82E-01	6.56E-01
tubulin complex (GO:0045298)	3	1	.19	+	5.16	1.82E-01	6.55E-01
postsynaptic Golgi apparatus (GO:0150051)	3	1	.19	+	5.16	1.82E-01	6.54E-01
cochlear hair cell ribbon synapse (GO:0098683)	6	2	.39	+	5.16	5.26E-02	3.05E-01
electron transfer flavoprotein complex (GO:0045251)	3	1	.19	+	5.16	1.82E-01	6.52E-01
nascent polypeptide-associated complex (GO:0005854)	3	1	.19	+	5.16	1.82E-01	6.51E-01
eukaryotic translation elongation factor 1 complex (GO:0005853)	3	1	.19	+	5.16	1.82E-01	6.50E-01
nuclear cap binding complex (GO:0005846)	3	1	.19	+	5.16	1.82E-01	6.49E-01
glutamyl-tRNA(Gln) amidotransferase complex (GO:0030956)	3	1	.19	+	5.16	1.82E-01	6.48E-01
pericellular basket (GO:1990030)	3	1	.19	+	5.16	1.82E-01	6.47E-01
discoidal high-density lipoprotein particle (GO:0034365)	3	1	.19	+	5.16	1.82E-01	6.45E-01
mitochondrial electron transfer flavoprotein complex (GO:0017133)	3	1	.19	+	5.16	1.82E-01	6.44E-01
procentriole (GO:0120098)	3	1	.19	+	5.16	1.82E-01	6.43E-01
platelet dense granule membrane (GO:0031088)	3	1	.19	+	5.16	1.82E-01	6.42E-01
integrin alpha4-beta1 complex (GO:0034668)	3	1	.19	+	5.16	1.82E-01	6.41E-01
extrinsic component of endosome membrane (GO:0031313)	3	1	.19	+	5.16	1.82E-01	6.40E-01
G protein-coupled receptor heterodimeric complex (GO:0038039)	3	1	.19	+	5.16	1.82E-01	6.39E-01
muscle cell projection membrane (GO:0036195)	3	1	.19	+	5.16	1.82E-01	6.38E-01
muscle cell projection (GO:0036194)	3	1	.19	+	5.16	1.82E-01	6.36E-01
U4/U6 snRNP (GO:0071001)	3	1	.19	+	5.16	1.82E-01	6.35E-01
cyclin E1-CDK2 complex (GO:0097134)	3	1	.19	+	5.16	1.82E-01	6.34E-01
cyclin D2-CDK4 complex (GO:0097129)	3	1	.19	+	5.16	1.82E-01	6.33E-01
cyclin A2-CDK2 complex (GO:0097124)	3	1	.19	+	5.16	1.82E-01	6.32E-01
Schwann cell microvillus (GO:0097454)	3	1	.19	+	5.16	1.82E-01	6.31E-01
bBAF complex (GO:0140092)	9	3	.58	+	5.16	1.68E-02	1.32E-01
paraspeckles (GO:0042382)	9	3	.58	+	5.16	1.68E-02	1.31E-01
cardiac myofibril (GO:0097512)	9	3	.58	+	5.16	1.68E-02	1.31E-01
chromaffin granule (GO:0042583)	15	5	.97	+	5.16	1.94E-03	2.55E-02
beta-catenin-TCF complex (GO:1990907)	13	4	.84	+	4.76	7.75E-03	7.39E-02
cell body fiber (GO:0070852)	10	3	.65	+	4.64	2.29E-02	1.68E-01
female pronucleus (GO:0001939)	10	3	.65	+	4.64	2.29E-02	1.67E-01
U4 snRNP (GO:0005687)	10	3	.65	+	4.64	2.29E-02	1.67E-01
oxoglutarate dehydrogenase complex (GO:0045252)	10	3	.65	+	4.64	2.29E-02	1.66E-01
serine protease inhibitor complex (GO:0097180)	10	3	.65	+	4.64	2.29E-02	1.66E-01
nuclear lamina (GO:0005652)	17	5	1.10	+	4.55	3.59E-03	4.19E-02
pronucleus (GO:0045120)	24	7	1.55	+	4.51	6.04E-04	9.80E-03
sarcoplasmic reticulum lumen (GO:0033018)	7	2	.45	+	4.42	7.05E-02	3.74E-01
rough endoplasmic reticulum lumen (GO:0048237)	7	2	.45	+	4.42	7.05E-02	3.73E-01
GBAF complex (GO:0140288)	14	4	.90	+	4.42	1.03E-02	9.37E-02
clathrin-sculpted glutamate transport vesicle membrane (GO:0060203)	7	2	.45	+	4.42	7.05E-02	3.72E-01
activin receptor complex (GO:0048179)	7	2	.45	+	4.42	7.05E-02	3.71E-01
signal peptidase complex (GO:0005787)	7	2	.45	+	4.42	7.05E-02	3.70E-01
clathrin-sculpted glutamate transport vesicle (GO:0060199)	7	2	.45	+	4.42	7.05E-02	3.69E-01
meiotic spindle (GO:0072687)	21	6	1.36	+	4.42	1.68E-03	2.25E-02
laminin complex (GO:0043256)	11	3	.71	+	4.22	3.00E-02	2.03E-01
axonal growth cone (GO:0044295)	44	12	2.84	+	4.22	1.54E-05	3.69E-04
outer kinetochore (GO:0000940)	22	6	1.42	+	4.22	2.19E-03	2.81E-02
protease inhibitor complex (GO:0097179)	11	3	.71	+	4.22	3.00E-02	2.02E-01
apical cortex (GO:0045179)	11	3	.71	+	4.22	3.00E-02	2.02E-01
semaphorin receptor complex (GO:0002116)	11	3	.71	+	4.22	3.00E-02	2.01E-01
cuticular plate (GO:0032437)	15	4	.97	+	4.13	1.33E-02	1.10E-01
kinesin complex (GO:0005871)	49	13	3.17	+	4.11	9.50E-06	2.34E-04
dendritic spine membrane (GO:0032591)	19	5	1.23	+	4.07	6.06E-03	6.14E-02
postsynaptic endosome membrane (GO:0098895)	12	3	.78	+	3.87	3.82E-02	2.43E-01
postsynaptic endocytic zone (GO:0098843)	12	3	.78	+	3.87	3.82E-02	2.42E-01
chromosome, centromeric core domain (GO:0034506)	12	3	.78	+	3.87	3.82E-02	2.42E-01
dendritic growth cone (GO:0044294)	12	3	.78	+	3.87	3.82E-02	2.41E-01
inhibitory synapse (GO:0060077)	28	7	1.81	+	3.87	1.65E-03	2.27E-02
juxtaparanode region of axon (GO:0044224)	12	3	.78	+	3.87	3.82E-02	2.40E-01
axolemma (GO:0030673)	20	5	1.29	+	3.87	7.66E-03	7.34E-02
dense core granule lumen (GO:0098898)	8	2	.52	+	3.87	9.01E-02	4.47E-01
histone locus body (GO:0035363)	4	1	.26	+	3.87	2.34E-01	7.55E-01
axonal spine (GO:0044308)	4	1	.26	+	3.87	2.34E-01	7.54E-01
tRNA-intron endonuclease complex (GO:0000214)	4	1	.26	+	3.87	2.34E-01	7.53E-01
NELF complex (GO:0032021)	4	1	.26	+	3.87	2.34E-01	7.52E-01
senescence-associated heterochromatin focus (GO:0035985)	4	1	.26	+	3.87	2.34E-01	7.51E-01
male pronucleus (GO:0001940)	8	2	.52	+	3.87	9.01E-02	4.46E-01
Ndc80 complex (GO:0031262)	4	1	.26	+	3.87	2.34E-01	7.49E-01
growth cone filopodium (GO:1990812)	4	1	.26	+	3.87	2.34E-01	7.48E-01
CHRAC (GO:0008623)	4	1	.26	+	3.87	2.34E-01	7.47E-01
epsilon DNA polymerase complex (GO:0008622)	4	1	.26	+	3.87	2.34E-01	7.46E-01
TRAF2-GSTP1 complex (GO:0097057)	4	1	.26	+	3.87	2.34E-01	7.45E-01
Myb complex (GO:0031523)	4	1	.26	+	3.87	2.34E-01	7.43E-01
box H/ACA telomerase RNP complex (GO:0090661)	4	1	.26	+	3.87	2.34E-01	7.42E-01
apical cytoplasm (GO:0090651)	4	1	.26	+	3.87	2.34E-01	7.41E-01
laminin-5 complex (GO:0005610)	4	1	.26	+	3.87	2.34E-01	7.40E-01
nBAF complex (GO:0071565)	16	4	1.03	+	3.87	1.69E-02	1.30E-01
phagolysosome membrane (GO:0061474)	4	1	.26	+	3.87	2.34E-01	7.39E-01
voltage-gated sodium channel complex (GO:0001518)	16	4	1.03	+	3.87	1.69E-02	1.30E-01
postsynaptic intermediate filament cytoskeleton (GO:0099160)	4	1	.26	+	3.87	2.34E-01	7.38E-01
Cul7-RING ubiquitin ligase complex (GO:0031467)	4	1	.26	+	3.87	2.34E-01	7.36E-01
cortical endoplasmic reticulum (GO:0032541)	8	2	.52	+	3.87	9.01E-02	4.45E-01
B-WICH complex (GO:0110016)	8	2	.52	+	3.87	9.01E-02	4.44E-01
RecQ family helicase-topoisomerase III complex (GO:0031422)	4	1	.26	+	3.87	2.34E-01	7.35E-01
branched-chain alpha-ketoacid dehydrogenase complex (GO:0160157)	4	1	.26	+	3.87	2.34E-01	7.34E-01
heteromeric SMAD protein complex (GO:0071144)	8	2	.52	+	3.87	9.01E-02	4.42E-01
dendritic filopodium (GO:1902737)	4	1	.26	+	3.87	2.34E-01	7.33E-01
insulin receptor complex (GO:0005899)	4	1	.26	+	3.87	2.34E-01	7.32E-01
epidermal lamellar body (GO:0097209)	4	1	.26	+	3.87	2.34E-01	7.31E-01
protein complex involved in cell-matrix adhesion (GO:0098637)	16	4	1.03	+	3.87	1.69E-02	1.29E-01
endoplasmic reticulum-endosome membrane contact site (GO:0140284)	4	1	.26	+	3.87	2.34E-01	7.29E-01
FACT complex (GO:0035101)	4	1	.26	+	3.87	2.34E-01	7.28E-01
internode region of axon (GO:0033269)	4	1	.26	+	3.87	2.34E-01	7.27E-01
multi-eIF complex (GO:0043614)	4	1	.26	+	3.87	2.34E-01	7.26E-01
neuronal dense core vesicle lumen (GO:0099013)	8	2	.52	+	3.87	9.01E-02	4.41E-01
platelet dense granule (GO:0042827)	4	1	.26	+	3.87	2.34E-01	7.25E-01
smooth endoplasmic reticulum (GO:0005790)	36	9	2.33	+	3.87	3.67E-04	6.59E-03
junctional sarcoplasmic reticulum membrane (GO:0014701)	4	1	.26	+	3.87	2.34E-01	7.24E-01
perichromatin fibrils (GO:0005726)	8	2	.52	+	3.87	9.01E-02	4.40E-01
dendrite terminus (GO:0044292)	21	5	1.36	+	3.68	9.53E-03	8.80E-02
neuronal cell body membrane (GO:0032809)	38	9	2.46	+	3.67	5.65E-04	9.31E-03
cell tip (GO:0051286)	17	4	1.10	+	3.64	2.10E-02	1.56E-01
npBAF complex (GO:0071564)	13	3	.84	+	3.57	4.73E-02	2.89E-01
RNA polymerase I complex (GO:0005736)	13	3	.84	+	3.57	4.73E-02	2.88E-01
U4/U6 x U5 tri-snRNP complex (GO:0046540)	35	8	2.26	+	3.54	1.46E-03	2.05E-02
spliceosomal tri-snRNP complex (GO:0097526)	35	8	2.26	+	3.54	1.46E-03	2.03E-02
axon initial segment (GO:0043194)	31	7	2.00	+	3.49	3.09E-03	3.71E-02
neuronal dense core vesicle (GO:0098992)	40	9	2.58	+	3.48	8.43E-04	1.30E-02
spindle midzone (GO:0051233)	40	9	2.58	+	3.48	8.43E-04	1.29E-02
dendritic spine neck (GO:0044326)	9	2	.58	+	3.44	1.11E-01	5.11E-01
vacuolar proton-transporting V-type ATPase, V0 domain (GO:0000220)	9	2	.58	+	3.44	1.11E-01	5.10E-01
calyx of Held (GO:0044305)	36	8	2.33	+	3.44	1.77E-03	2.34E-02
U1 snRNP (GO:0005685)	18	4	1.16	+	3.44	2.56E-02	1.79E-01
EKC/KEOPS complex (GO:0000408)	9	2	.58	+	3.44	1.11E-01	5.09E-01
proteasome regulatory particle, lid subcomplex (GO:0008541)	9	2	.58	+	3.44	1.11E-01	5.08E-01
eukaryotic 48S preinitiation complex (GO:0033290)	18	4	1.16	+	3.44	2.56E-02	1.78E-01
chromaffin granule membrane (GO:0042584)	9	2	.58	+	3.44	1.11E-01	5.07E-01
spindle pole centrosome (GO:0031616)	18	4	1.16	+	3.44	2.56E-02	1.77E-01
clathrin-sculpted vesicle (GO:0060198)	9	2	.58	+	3.44	1.11E-01	5.05E-01
cell body membrane (GO:0044298)	41	9	2.65	+	3.40	1.02E-03	1.52E-02
lamellipodium membrane (GO:0031258)	23	5	1.49	+	3.36	1.42E-02	1.15E-01
presynaptic endocytic zone membrane (GO:0098835)	14	3	.90	+	3.32	5.74E-02	3.32E-01
brahma complex (GO:0035060)	14	3	.90	+	3.32	5.74E-02	3.31E-01
eukaryotic 43S preinitiation complex (GO:0016282)	19	4	1.23	+	3.26	3.08E-02	2.06E-01
cytosolic region (GO:0099522)	72	15	4.65	+	3.22	4.65E-05	1.01E-03
node of Ranvier (GO:0033268)	24	5	1.55	+	3.22	1.70E-02	1.30E-01
nuclear replication fork (GO:0043596)	44	9	2.84	+	3.17	1.73E-03	2.30E-02
main axon (GO:0044304)	93	19	6.01	+	3.16	6.42E-06	1.64E-04
astrocyte projection (GO:0097449)	25	5	1.62	+	3.10	2.01E-02	1.50E-01
sorting endosome (GO:0097443)	5	1	.32	+	3.10	2.84E-01	8.36E-01
neurofibrillary tangle (GO:0097418)	5	1	.32	+	3.10	2.84E-01	8.35E-01
commitment complex (GO:0000243)	5	1	.32	+	3.10	2.84E-01	8.34E-01
interphotoreceptor matrix (GO:0033165)	5	1	.32	+	3.10	2.84E-01	8.33E-01
cone cell pedicle (GO:0044316)	5	1	.32	+	3.10	2.84E-01	8.31E-01
transcription factor AP-1 complex (GO:0035976)	5	1	.32	+	3.10	2.84E-01	8.30E-01
smooth muscle contractile fiber (GO:0030485)	5	1	.32	+	3.10	2.84E-01	8.29E-01
MPP7-DLG1-LIN7 complex (GO:0097025)	5	1	.32	+	3.10	2.84E-01	8.28E-01
elongin complex (GO:0070449)	5	1	.32	+	3.10	2.84E-01	8.27E-01
DNA-dependent protein kinase complex (GO:0070418)	5	1	.32	+	3.10	2.84E-01	8.25E-01
Lsm1-7-Pat1 complex (GO:1990726)	5	1	.32	+	3.10	2.84E-01	8.24E-01
box H/ACA snoRNP complex (GO:0031429)	5	1	.32	+	3.10	2.84E-01	8.23E-01
SMAD protein complex (GO:0071141)	10	2	.65	+	3.10	1.33E-01	5.47E-01
mRNA editing complex (GO:0045293)	5	1	.32	+	3.10	2.84E-01	8.22E-01
box H/ACA RNP complex (GO:0072588)	5	1	.32	+	3.10	2.84E-01	8.21E-01
proton-transporting ATP synthase complex, catalytic core F(1) (GO:0045261)	5	1	.32	+	3.10	2.84E-01	8.19E-01
Rb-E2F complex (GO:0035189)	5	1	.32	+	3.10	2.84E-01	8.18E-01
cortical microtubule cytoskeleton (GO:0030981)	5	1	.32	+	3.10	2.84E-01	8.17E-01
intracellular canaliculus (GO:0046691)	5	1	.32	+	3.10	2.84E-01	8.16E-01
perineuronal net (GO:0072534)	10	2	.65	+	3.10	1.33E-01	5.46E-01
chaperonin-containing T-complex (GO:0005832)	10	2	.65	+	3.10	1.33E-01	5.45E-01
3M complex (GO:1990393)	5	1	.32	+	3.10	2.84E-01	8.15E-01
ciliary transition fiber (GO:0097539)	10	2	.65	+	3.10	1.33E-01	5.44E-01
terminal web (GO:1990357)	5	1	.32	+	3.10	2.84E-01	8.14E-01
translation preinitiation complex (GO:0070993)	20	4	1.29	+	3.10	3.66E-02	2.36E-01
Golgi transport complex (GO:0017119)	10	2	.65	+	3.10	1.33E-01	5.42E-01
DNA helicase complex (GO:0033202)	5	1	.32	+	3.10	2.84E-01	8.12E-01
Holliday junction resolvase complex (GO:0048476)	5	1	.32	+	3.10	2.84E-01	8.11E-01
granulocyte macrophage colony-stimulating factor receptor complex (GO:0030526)	5	1	.32	+	3.10	2.84E-01	8.10E-01
cell pole (GO:0060187)	20	4	1.29	+	3.10	3.66E-02	2.35E-01
interchromatin granule (GO:0035061)	5	1	.32	+	3.10	2.84E-01	8.09E-01
