




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of peptidyl-cysteine S-nitrosylation (GO:2000170)	2	1	.03	+	29.99	3.31E-02	6.32E-01
symbiont-mediated activation of host programmed cell death (GO:0052042)	2	1	.03	+	29.99	3.31E-02	6.31E-01
symbiont-mediated perturbation of host programmed cell death (GO:0052040)	2	1	.03	+	29.99	3.31E-02	6.31E-01
thermosensory behavior (GO:0040040)	2	1	.03	+	29.99	3.31E-02	6.30E-01
peptidyl-threonine autophosphorylation (GO:1990443)	2	1	.03	+	29.99	3.31E-02	6.29E-01
positive regulation of type B pancreatic cell development (GO:2000078)	2	1	.03	+	29.99	3.31E-02	6.28E-01
negative regulation of axon extension involved in regeneration (GO:0048692)	2	1	.03	+	29.99	3.31E-02	6.27E-01
negative regulation of sprouting of injured axon (GO:0048688)	2	1	.03	+	29.99	3.31E-02	6.27E-01
evoked excitatory postsynaptic potential (GO:0098817)	2	1	.03	+	29.99	3.31E-02	6.26E-01
chemorepulsion of dopaminergic neuron axon (GO:0036518)	2	1	.03	+	29.99	3.31E-02	6.25E-01
symbiont-mediated perturbation of host cellular process (GO:0044068)	2	1	.03	+	29.99	3.31E-02	6.24E-01
negative regulation of ERBB4 signaling pathway (GO:0120154)	2	1	.03	+	29.99	3.31E-02	6.24E-01
regulation of synaptic vesicle docking (GO:0099148)	2	1	.03	+	29.99	3.31E-02	6.23E-01
symbiont-mediated perturbation of host process (GO:0044003)	2	1	.03	+	29.99	3.31E-02	6.22E-01
nose morphogenesis (GO:0043585)	2	1	.03	+	29.99	3.31E-02	6.21E-01
positive regulation of activation-induced cell death of T cells (GO:0070237)	2	1	.03	+	29.99	3.31E-02	6.21E-01
opsin transport (GO:0036372)	2	1	.03	+	29.99	3.31E-02	6.20E-01
positive regulation of cell proliferation in midbrain (GO:1904935)	2	1	.03	+	29.99	3.31E-02	6.19E-01
vesicle targeting, trans-Golgi to endosome (GO:0048203)	2	1	.03	+	29.99	3.31E-02	6.18E-01
regulation of shelterin complex assembly (GO:1904790)	2	1	.03	+	29.99	3.31E-02	6.18E-01
negative regulation of protein K48-linked ubiquitination (GO:0061944)	2	1	.03	+	29.99	3.31E-02	6.17E-01
positive regulation of metalloendopeptidase activity (GO:1904685)	2	1	.03	+	29.99	3.31E-02	6.16E-01
negative regulation of Kit signaling pathway (GO:1900235)	2	1	.03	+	29.99	3.31E-02	6.15E-01
regulation of Kit signaling pathway (GO:1900234)	2	1	.03	+	29.99	3.31E-02	6.15E-01
argininosuccinate metabolic process (GO:0000053)	2	1	.03	+	29.99	3.31E-02	6.14E-01
lipopolysaccharide transport (GO:0015920)	2	1	.03	+	29.99	3.31E-02	6.13E-01
positive regulation of hair cycle (GO:0042635)	2	1	.03	+	29.99	3.31E-02	6.12E-01
cellular detoxification of hydrogen peroxide (GO:0061692)	2	1	.03	+	29.99	3.31E-02	6.12E-01
peptidyl-lysine modification to peptidyl-hypusine (GO:0008612)	2	1	.03	+	29.99	3.31E-02	6.11E-01
negative regulation of odontogenesis of dentin-containing tooth (GO:0042489)	2	1	.03	+	29.99	3.31E-02	6.10E-01
regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0150035)	2	1	.03	+	29.99	3.31E-02	6.09E-01
polyprenol catabolic process (GO:0016095)	2	1	.03	+	29.99	3.31E-02	6.09E-01
cuticle development (GO:0042335)	2	1	.03	+	29.99	3.31E-02	6.08E-01
regulation of transformation of host cell by virus (GO:1904187)	2	1	.03	+	29.99	3.31E-02	6.07E-01
menstrual cycle phase (GO:0022601)	2	1	.03	+	29.99	3.31E-02	6.07E-01
positive regulation of cardiac muscle adaptation (GO:0010615)	2	1	.03	+	29.99	3.31E-02	6.06E-01
behavioral response to acetic acid induced pain (GO:0061367)	2	1	.03	+	29.99	3.31E-02	6.05E-01
creatinine metabolic process (GO:0046449)	2	1	.03	+	29.99	3.31E-02	6.04E-01
esophagus smooth muscle contraction (GO:0014846)	2	1	.03	+	29.99	3.31E-02	6.04E-01
corticospinal neuron axon guidance (GO:0021966)	2	1	.03	+	29.99	3.31E-02	6.03E-01
chemorepulsion involved in postnatal olfactory bulb interneuron migration (GO:0021836)	2	1	.03	+	29.99	3.31E-02	6.02E-01
macrophage fusion (GO:0034238)	2	1	.03	+	29.99	3.31E-02	6.02E-01
adenylate cyclase-inhibiting serotonin receptor signaling pathway (GO:0007198)	9	4	.15	+	26.66	8.96E-06	1.70E-03
heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)	5	2	.08	+	24.00	2.68E-03	1.55E-01
negative regulation of synaptic vesicle exocytosis (GO:2000301)	5	2	.08	+	24.00	2.68E-03	1.54E-01
lipid phosphorylation (GO:0046834)	10	4	.17	+	24.00	1.47E-05	2.58E-03
behavioral response to formalin induced pain (GO:0061368)	5	2	.08	+	24.00	2.68E-03	1.54E-01
behavioral response to chemical pain (GO:0061366)	5	2	.08	+	24.00	2.68E-03	1.53E-01
opsonization (GO:0008228)	5	2	.08	+	24.00	2.68E-03	1.52E-01
positive regulation of cell-cell adhesion mediated by cadherin (GO:2000049)	9	3	.15	+	20.00	3.58E-04	3.54E-02
heparan sulfate proteoglycan metabolic process (GO:0030201)	9	3	.15	+	20.00	3.58E-04	3.52E-02
vestibular nucleus development (GO:0021750)	3	1	.05	+	20.00	4.92E-02	7.87E-01
dolichol biosynthetic process (GO:0019408)	3	1	.05	+	20.00	4.92E-02	7.86E-01
lung induction (GO:0060492)	3	1	.05	+	20.00	4.92E-02	7.85E-01
vitamin A import into cell (GO:0071939)	3	1	.05	+	20.00	4.92E-02	7.85E-01
vitamin A transport (GO:0071938)	3	1	.05	+	20.00	4.92E-02	7.84E-01
cerebellar molecular layer development (GO:0021679)	3	1	.05	+	20.00	4.92E-02	7.83E-01
lactam metabolic process (GO:0072338)	3	1	.05	+	20.00	4.92E-02	7.82E-01
positive regulation of metanephric glomerulus development (GO:0072300)	3	1	.05	+	20.00	4.92E-02	7.81E-01
positive regulation of axon guidance (GO:1902669)	3	1	.05	+	20.00	4.92E-02	7.81E-01
cytoplasmic actin-based contraction involved in cell motility (GO:0060327)	3	1	.05	+	20.00	4.92E-02	7.80E-01
negative regulation of blood vessel remodeling (GO:0060313)	3	1	.05	+	20.00	4.92E-02	7.79E-01
elastin catabolic process (GO:0060309)	3	1	.05	+	20.00	4.92E-02	7.78E-01
negative regulation of animal organ morphogenesis (GO:0110111)	3	1	.05	+	20.00	4.92E-02	7.77E-01
regulation of metanephric glomerulus development (GO:0072298)	3	1	.05	+	20.00	4.92E-02	7.77E-01
epithalamus development (GO:0021538)	3	1	.05	+	20.00	4.92E-02	7.76E-01
visceral motor neuron differentiation (GO:0021524)	3	1	.05	+	20.00	4.92E-02	7.75E-01
positive regulation of nephron tubule epithelial cell differentiation (GO:2000768)	3	1	.05	+	20.00	4.92E-02	7.74E-01
positive regulation of metanephros development (GO:0072216)	3	1	.05	+	20.00	4.92E-02	7.73E-01
regulation of dense core granule biogenesis (GO:2000705)	3	1	.05	+	20.00	4.92E-02	7.73E-01
protein localization to P-body (GO:0110012)	3	1	.05	+	20.00	4.92E-02	7.72E-01
B cell affinity maturation (GO:0002344)	3	1	.05	+	20.00	4.92E-02	7.71E-01
peripheral B cell selection (GO:0002343)	3	1	.05	+	20.00	4.92E-02	7.70E-01
transitional stage B cell differentiation (GO:0002332)	3	1	.05	+	20.00	4.92E-02	7.69E-01
adenylate cyclase-activating serotonin receptor signaling pathway (GO:0007192)	3	1	.05	+	20.00	4.92E-02	7.69E-01
glomerular parietal epithelial cell differentiation (GO:0072139)	3	1	.05	+	20.00	4.92E-02	7.68E-01
regulation of transforming growth factor beta3 production (GO:0032910)	3	1	.05	+	20.00	4.92E-02	7.67E-01
ribosomal protein import into nucleus (GO:0006610)	3	1	.05	+	20.00	4.92E-02	7.66E-01
eosinophil homeostasis (GO:1990959)	3	1	.05	+	20.00	4.92E-02	7.66E-01
endothelial cell-cell adhesion (GO:0071603)	3	1	.05	+	20.00	4.92E-02	7.65E-01
calcium ion regulated lysosome exocytosis (GO:1990927)	3	1	.05	+	20.00	4.92E-02	7.64E-01
mitotic chromosome movement towards spindle pole (GO:0007079)	3	1	.05	+	20.00	4.92E-02	7.63E-01
ureteric bud invasion (GO:0072092)	3	1	.05	+	20.00	4.92E-02	7.63E-01
GDF15-GFRAL signaling pathway (GO:0160144)	3	1	.05	+	20.00	4.92E-02	7.62E-01
interleukin-23-mediated signaling pathway (GO:0038155)	3	1	.05	+	20.00	4.92E-02	7.61E-01
interleukin-11-mediated signaling pathway (GO:0038154)	6	2	.10	+	20.00	3.98E-03	2.01E-01
octopamine biosynthetic process (GO:0006589)	3	1	.05	+	20.00	4.92E-02	7.60E-01
dsRNA transport (GO:0033227)	3	1	.05	+	20.00	4.92E-02	7.59E-01
sequestering of BMP from receptor via BMP binding (GO:0038098)	3	1	.05	+	20.00	4.92E-02	7.59E-01
negative regulation of mast cell cytokine production (GO:0032764)	3	1	.05	+	20.00	4.92E-02	7.58E-01
mast cell cytokine production (GO:0032762)	6	2	.10	+	20.00	3.98E-03	2.00E-01
cellular response to alkaline pH (GO:0071469)	3	1	.05	+	20.00	4.92E-02	7.57E-01
cellular response to oleic acid (GO:0071400)	3	1	.05	+	20.00	4.92E-02	7.56E-01
regulation of renal output by angiotensin (GO:0002019)	3	1	.05	+	20.00	4.92E-02	7.56E-01
regulation of translation at presynapse (GO:0140244)	3	1	.05	+	20.00	4.92E-02	7.55E-01
regulation of translation at presynapse, modulating synaptic transmission (GO:0099577)	3	1	.05	+	20.00	4.92E-02	7.54E-01
interleukin-10-mediated signaling pathway (GO:0140105)	6	2	.10	+	20.00	3.98E-03	2.00E-01
regulation of protein homooligomerization (GO:0032462)	3	1	.05	+	20.00	4.92E-02	7.53E-01
regulation of endocannabinoid signaling pathway (GO:2000124)	3	1	.05	+	20.00	4.92E-02	7.53E-01
peptidyl-cysteine methylation (GO:0018125)	3	1	.05	+	20.00	4.92E-02	7.52E-01
calcitonin gene-related peptide receptor signaling pathway (GO:1990408)	3	1	.05	+	20.00	4.92E-02	7.51E-01
regulation of retinal ganglion cell axon guidance (GO:0090259)	3	1	.05	+	20.00	4.92E-02	7.50E-01
protein localization to nuclear pore (GO:0090204)	3	1	.05	+	20.00	4.92E-02	7.50E-01
response to magnetism (GO:0071000)	3	1	.05	+	20.00	4.92E-02	7.49E-01
sprouting of injured axon (GO:0048682)	3	1	.05	+	20.00	4.92E-02	7.48E-01
axon extension involved in regeneration (GO:0048677)	3	1	.05	+	20.00	4.92E-02	7.47E-01
collateral sprouting in absence of injury (GO:0048669)	3	1	.05	+	20.00	4.92E-02	7.47E-01
detection of chemical stimulus involved in sensory perception of pain (GO:0050968)	3	1	.05	+	20.00	4.92E-02	7.46E-01
positive regulation of inflammatory response to wounding (GO:0106016)	3	1	.05	+	20.00	4.92E-02	7.45E-01
regulation of intracellular transport of viral material (GO:1901252)	3	1	.05	+	20.00	4.92E-02	7.45E-01
monocyte aggregation (GO:0070487)	6	2	.10	+	20.00	3.98E-03	1.99E-01
musculoskeletal movement, spinal reflex action (GO:0050883)	3	1	.05	+	20.00	4.92E-02	7.44E-01
negative regulation of protein kinase C signaling (GO:0090038)	3	1	.05	+	20.00	4.92E-02	7.43E-01
negative regulation of monocyte chemotaxis (GO:0090027)	6	2	.10	+	20.00	3.98E-03	1.98E-01
postsynaptic intermediate filament cytoskeleton organization (GO:0099185)	3	1	.05	+	20.00	4.92E-02	7.42E-01
positive regulation of monocyte aggregation (GO:1900625)	3	1	.05	+	20.00	4.92E-02	7.42E-01
regulation of monocyte aggregation (GO:1900623)	3	1	.05	+	20.00	4.92E-02	7.41E-01
cornification (GO:0070268)	3	1	.05	+	20.00	4.92E-02	7.40E-01
regulation of cell proliferation in midbrain (GO:1904933)	3	1	.05	+	20.00	4.92E-02	7.39E-01
innate vocalization behavior (GO:0098582)	3	1	.05	+	20.00	4.92E-02	7.39E-01
peptidyl-glutamic acid carboxylation (GO:0017187)	3	1	.05	+	20.00	4.92E-02	7.38E-01
positive regulation of excitatory synapse assembly (GO:1904891)	3	1	.05	+	20.00	4.92E-02	7.37E-01
negative regulation of long-term synaptic depression (GO:1900453)	3	1	.05	+	20.00	4.92E-02	7.37E-01
negative regulation of neutrophil degranulation (GO:0043314)	3	1	.05	+	20.00	4.92E-02	7.36E-01
regulation of sulfur amino acid metabolic process (GO:0031335)	3	1	.05	+	20.00	4.92E-02	7.35E-01
toxin catabolic process (GO:0009407)	3	1	.05	+	20.00	4.92E-02	7.34E-01
TRAM-dependent toll-like receptor 4 signaling pathway (GO:0035669)	3	1	.05	+	20.00	4.92E-02	7.34E-01
TRAM-dependent toll-like receptor signaling pathway (GO:0035668)	3	1	.05	+	20.00	4.92E-02	7.33E-01
positive regulation of protein localization to phagocytic vesicle (GO:1905171)	3	1	.05	+	20.00	4.92E-02	7.32E-01
regulation of protein localization to phagocytic vesicle (GO:1905169)	3	1	.05	+	20.00	4.92E-02	7.32E-01
regulation of phagosome maturation (GO:1905162)	3	1	.05	+	20.00	4.92E-02	7.31E-01
negative regulation of membrane invagination (GO:1905154)	3	1	.05	+	20.00	4.92E-02	7.30E-01
response to resveratrol (GO:1904638)	3	1	.05	+	20.00	4.92E-02	7.29E-01
eye photoreceptor cell fate commitment (GO:0042706)	3	1	.05	+	20.00	4.92E-02	7.29E-01
secretory granule maturation (GO:0061792)	3	1	.05	+	20.00	4.92E-02	7.28E-01
positive regulation of endothelin production (GO:1904472)	3	1	.05	+	20.00	4.92E-02	7.27E-01
detoxification of hydrogen peroxide (GO:0061691)	3	1	.05	+	20.00	4.92E-02	7.27E-01
oligosaccharide transport (GO:0015772)	3	1	.05	+	20.00	4.92E-02	7.26E-01
sucrose transport (GO:0015770)	3	1	.05	+	20.00	4.92E-02	7.25E-01
disaccharide transport (GO:0015766)	3	1	.05	+	20.00	4.92E-02	7.25E-01
negative regulation of odontogenesis (GO:0042483)	3	1	.05	+	20.00	4.92E-02	7.24E-01
intestinal epithelial cell migration (GO:0061582)	3	1	.05	+	20.00	4.92E-02	7.23E-01
positive regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904237)	3	1	.05	+	20.00	4.92E-02	7.23E-01
regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904235)	3	1	.05	+	20.00	4.92E-02	7.22E-01
retinol transport (GO:0034633)	3	1	.05	+	20.00	4.92E-02	7.21E-01
photoreceptor cell fate commitment (GO:0046552)	3	1	.05	+	20.00	4.92E-02	7.20E-01
satellite cell activation involved in skeletal muscle regeneration (GO:0014901)	3	1	.05	+	20.00	4.92E-02	7.20E-01
Peyer's patch morphogenesis (GO:0061146)	3	1	.05	+	20.00	4.92E-02	7.19E-01
habenula development (GO:0021986)	3	1	.05	+	20.00	4.92E-02	7.18E-01
positive regulation of translational termination (GO:0045905)	3	1	.05	+	20.00	4.92E-02	7.18E-01
negative regulation of synaptic vesicle recycling (GO:1903422)	3	1	.05	+	20.00	4.92E-02	7.17E-01
octopamine metabolic process (GO:0046333)	3	1	.05	+	20.00	4.92E-02	7.16E-01
endocardial cushion to mesenchymal transition involved in heart valve formation (GO:0003199)	3	1	.05	+	20.00	4.92E-02	7.16E-01
postnatal olfactory bulb interneuron migration (GO:0021827)	3	1	.05	+	20.00	4.92E-02	7.15E-01
substrate-dependent cerebral cortex tangential migration (GO:0021825)	3	1	.05	+	20.00	4.92E-02	7.14E-01
cerebral cortex tangential migration using cell-cell interactions (GO:0021823)	3	1	.05	+	20.00	4.92E-02	7.14E-01
enkephalin processing (GO:0034230)	3	1	.05	+	20.00	4.92E-02	7.13E-01
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	16	5	.27	+	18.75	4.70E-06	1.02E-03
positive regulation of peptidyl-lysine acetylation (GO:2000758)	7	2	.12	+	17.14	5.51E-03	2.53E-01
oncogene-induced cell senescence (GO:0090402)	7	2	.12	+	17.14	5.51E-03	2.52E-01
Cdc42 protein signal transduction (GO:0032488)	7	2	.12	+	17.14	5.51E-03	2.51E-01
gastro-intestinal system smooth muscle contraction (GO:0014831)	7	2	.12	+	17.14	5.51E-03	2.50E-01
negative regulation of transforming growth factor beta production (GO:0071635)	11	3	.18	+	16.36	6.86E-04	5.94E-02
globus pallidus development (GO:0021759)	4	1	.07	+	15.00	6.50E-02	8.46E-01
club cell differentiation (GO:0060486)	4	1	.07	+	15.00	6.50E-02	8.45E-01
positive regulation of toll-like receptor 3 signaling pathway (GO:0034141)	8	2	.13	+	15.00	7.26E-03	2.98E-01
substrate-dependent cell migration, cell extension (GO:0006930)	8	2	.13	+	15.00	7.26E-03	2.97E-01
lncRNA processing (GO:0180035)	4	1	.07	+	15.00	6.50E-02	8.44E-01
regulation of T cell homeostatic proliferation (GO:0046013)	4	1	.07	+	15.00	6.50E-02	8.44E-01
positive regulation of caveolin-mediated endocytosis (GO:2001288)	4	1	.07	+	15.00	6.50E-02	8.43E-01
response to mycotoxin (GO:0010046)	4	1	.07	+	15.00	6.50E-02	8.42E-01
dorsal/ventral axon guidance (GO:0033563)	4	1	.07	+	15.00	6.50E-02	8.42E-01
cerebellum maturation (GO:0021590)	4	1	.07	+	15.00	6.50E-02	8.41E-01
corpus callosum morphogenesis (GO:0021540)	8	2	.13	+	15.00	7.26E-03	2.96E-01
