




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (3078)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
reelin complex (GO:0110157)	1	1	.14	+	7.09	1.41E-01	4.69E-01
caveolar macromolecular signaling complex (GO:0002095)	3	3	.42	+	7.09	2.80E-03	2.50E-02
inner dense plaque of desmosome (GO:0090637)	1	1	.14	+	7.09	1.41E-01	4.68E-01
outer dense plaque of desmosome (GO:0090636)	1	1	.14	+	7.09	1.41E-01	4.68E-01
mitochondrial inner-outer membrane contact site (GO:0044289)	1	1	.14	+	7.09	1.41E-01	4.67E-01
subplasmalemmal coating (GO:0044280)	1	1	.14	+	7.09	1.41E-01	4.66E-01
nucleus-vacuole junction (GO:0071561)	1	1	.14	+	7.09	1.41E-01	4.65E-01
complement component C1 complex (GO:0005602)	3	3	.42	+	7.09	2.80E-03	2.49E-02
VEGF-A complex (GO:1990150)	1	1	.14	+	7.09	1.41E-01	4.65E-01
Shc-EGFR complex (GO:0070435)	1	1	.14	+	7.09	1.41E-01	4.64E-01
DNA ligase III-XRCC1 complex (GO:0070421)	1	1	.14	+	7.09	1.41E-01	4.63E-01
translation initiation ternary complex (GO:0044207)	1	1	.14	+	7.09	1.41E-01	4.62E-01
extrinsic component of phagophore assembly site membrane (GO:0097632)	1	1	.14	+	7.09	1.41E-01	4.62E-01
extrinsic component of omegasome membrane (GO:0097629)	2	2	.28	+	7.09	1.99E-02	1.18E-01
specific granule membrane (GO:0035579)	1	1	.14	+	7.09	1.41E-01	4.61E-01
cytoplasmic side of dendritic spine plasma membrane (GO:1990780)	1	1	.14	+	7.09	1.41E-01	4.60E-01
nuclear aryl hydrocarbon receptor complex (GO:0034753)	2	2	.28	+	7.09	1.99E-02	1.18E-01
cytosolic aryl hydrocarbon receptor complex (GO:0034752)	1	1	.14	+	7.09	1.41E-01	4.59E-01
cellularization cleavage furrow (GO:0110070)	1	1	.14	+	7.09	1.41E-01	4.59E-01
actomyosin, myosin complex part (GO:0042642)	1	1	.14	+	7.09	1.41E-01	4.58E-01
postsynaptic spectrin-associated cytoskeleton (GO:0099189)	1	1	.14	+	7.09	1.41E-01	4.57E-01
collagen type XII trimer (GO:0005595)	1	1	.14	+	7.09	1.41E-01	4.56E-01
collagen type III trimer (GO:0005586)	1	1	.14	+	7.09	1.41E-01	4.56E-01
fatty acid elongase complex (GO:0009923)	2	2	.28	+	7.09	1.99E-02	1.18E-01
complement component C1q complex (GO:0062167)	3	3	.42	+	7.09	2.80E-03	2.48E-02
eukaryotic translation elongation factor 1 complex (GO:0005853)	3	3	.42	+	7.09	2.80E-03	2.47E-02
basal proximal dendrite (GO:0150017)	1	1	.14	+	7.09	1.41E-01	4.55E-01
parallel fiber (GO:1990032)	2	2	.28	+	7.09	1.99E-02	1.17E-01
pinceau fiber (GO:1990031)	1	1	.14	+	7.09	1.41E-01	4.54E-01
anchoring collagen complex (GO:0030934)	1	1	.14	+	7.09	1.41E-01	4.53E-01
glucose transporter complex (GO:1990350)	1	1	.14	+	7.09	1.41E-01	4.53E-01
eukaryotic 80S initiation complex (GO:0033291)	1	1	.14	+	7.09	1.41E-01	4.52E-01
chylomicron remnant (GO:0034360)	1	1	.14	+	7.09	1.41E-01	4.51E-01
translation initiation complex (GO:0070992)	1	1	.14	+	7.09	1.41E-01	4.50E-01
Golgi trans cisterna membrane (GO:1990676)	1	1	.14	+	7.09	1.41E-01	4.50E-01
Golgi medial cisterna membrane (GO:1990675)	1	1	.14	+	7.09	1.41E-01	4.49E-01
U11/U12 snRNP (GO:0034693)	1	1	.14	+	7.09	1.41E-01	4.48E-01
S100A9 complex (GO:1990662)	1	1	.14	+	7.09	1.41E-01	4.48E-01
calprotectin complex (GO:1990660)	2	2	.28	+	7.09	1.99E-02	1.17E-01
dystrobrevin complex (GO:0016014)	1	1	.14	+	7.09	1.41E-01	4.47E-01
integrin alphav-beta5 complex (GO:0034684)	2	2	.28	+	7.09	1.99E-02	1.16E-01
ANPR-A receptor complex (GO:1990620)	1	1	.14	+	7.09	1.41E-01	4.46E-01
EMILIN complex (GO:1990971)	2	2	.28	+	7.09	1.99E-02	1.16E-01
extrinsic component of Golgi membrane (GO:0090498)	1	1	.14	+	7.09	1.41E-01	4.45E-01
rixosome complex (GO:0120330)	1	1	.14	+	7.09	1.41E-01	4.45E-01
histone mRNA stem-loop binding complex (GO:0062073)	2	2	.28	+	7.09	1.99E-02	1.16E-01
kinesin II complex (GO:0016939)	3	3	.42	+	7.09	2.80E-03	2.46E-02
BAX complex (GO:0097144)	1	1	.14	+	7.09	1.41E-01	4.44E-01
cyclin D1-CDK4 complex (GO:0097128)	2	2	.28	+	7.09	1.99E-02	1.15E-01
BRCA2-BRAF35 complex (GO:0002111)	1	1	.14	+	7.09	1.41E-01	4.43E-01
lumenal side of Golgi membrane (GO:0098547)	1	1	.14	+	7.09	1.41E-01	4.43E-01
terminal loop (GO:0097456)	1	1	.14	+	7.09	1.41E-01	4.42E-01
3M complex (GO:1990393)	5	4	.70	+	5.68	1.75E-03	1.73E-02
catenin-TCF7L2 complex (GO:0071664)	4	3	.56	+	5.32	1.00E-02	7.16E-02
omegasome membrane (GO:1903349)	4	3	.56	+	5.32	1.00E-02	7.13E-02
postsynaptic intermediate filament cytoskeleton (GO:0099160)	4	3	.56	+	5.32	1.00E-02	7.10E-02
Cul7-RING ubiquitin ligase complex (GO:0031467)	4	3	.56	+	5.32	1.00E-02	7.08E-02
insulin receptor complex (GO:0005899)	4	3	.56	+	5.32	1.00E-02	7.05E-02
HULC complex (GO:0033503)	4	3	.56	+	5.32	1.00E-02	7.03E-02
zonula adherens (GO:0005915)	7	5	.99	+	5.07	9.08E-04	1.00E-02
signal peptidase complex (GO:0005787)	7	5	.99	+	5.07	9.08E-04	9.95E-03
cytosolic small ribosomal subunit (GO:0022627)	40	27	5.64	+	4.79	1.76E-14	6.06E-13
extrinsic component of presynaptic active zone membrane (GO:0098891)	3	2	.42	+	4.73	5.40E-02	2.50E-01
spectrin (GO:0008091)	6	4	.85	+	4.73	4.66E-03	3.72E-02
dolichol-phosphate-mannose synthase complex (GO:0033185)	3	2	.42	+	4.73	5.40E-02	2.50E-01
DSIF complex (GO:0032044)	3	2	.42	+	4.73	5.40E-02	2.49E-01
protein kinase CK2 complex (GO:0005956)	3	2	.42	+	4.73	5.40E-02	2.49E-01
chromatin lock complex (GO:0061793)	3	2	.42	+	4.73	5.40E-02	2.48E-01
core TFIIH complex portion of holo TFIIH complex (GO:0000438)	3	2	.42	+	4.73	5.40E-02	2.48E-01
1-alkyl-2-acetylglycerophosphocholine esterase complex (GO:0008247)	3	2	.42	+	4.73	5.40E-02	2.47E-01
ISGF3 complex (GO:0070721)	3	2	.42	+	4.73	5.40E-02	2.46E-01
growth cone lamellipodium (GO:1990761)	3	2	.42	+	4.73	5.40E-02	2.46E-01
presynaptic intermediate filament cytoskeleton (GO:0099182)	3	2	.42	+	4.73	5.40E-02	2.45E-01
proteasome activator complex (GO:0008537)	3	2	.42	+	4.73	5.40E-02	2.45E-01
pICln-Sm protein complex (GO:0034715)	6	4	.85	+	4.73	4.66E-03	3.70E-02
tubulin complex (GO:0045298)	3	2	.42	+	4.73	5.40E-02	2.44E-01
alveolar lamellar body membrane (GO:0097233)	3	2	.42	+	4.73	5.40E-02	2.44E-01
beta-catenin-TCF7L2 complex (GO:0070369)	3	2	.42	+	4.73	5.40E-02	2.43E-01
myosin II filament (GO:0097513)	3	2	.42	+	4.73	5.40E-02	2.42E-01
adrenomedullin receptor complex (GO:1903143)	3	2	.42	+	4.73	5.40E-02	2.42E-01
endocytic vesicle lumen (GO:0071682)	3	2	.42	+	4.73	5.40E-02	2.41E-01
peripheral region of growth cone (GO:0090725)	3	2	.42	+	4.73	5.40E-02	2.41E-01
glial limiting end-foot (GO:0097451)	3	2	.42	+	4.73	5.40E-02	2.40E-01
sorting endosome (GO:0097443)	5	3	.70	+	4.26	2.24E-02	1.29E-01
neurofibrillary tangle (GO:0097418)	5	3	.70	+	4.26	2.24E-02	1.28E-01
endoplasmic reticulum tubular network membrane (GO:0098826)	5	3	.70	+	4.26	2.24E-02	1.28E-01
EARP complex (GO:1990745)	5	3	.70	+	4.26	2.24E-02	1.28E-01
respiratory chain complex I (GO:0045271)	50	30	7.05	+	4.26	6.80E-14	2.22E-12
NADH dehydrogenase complex (GO:0030964)	50	30	7.05	+	4.26	6.80E-14	2.19E-12
polar microtubule (GO:0005827)	5	3	.70	+	4.26	2.24E-02	1.27E-01
SAM complex (GO:0001401)	5	3	.70	+	4.26	2.24E-02	1.27E-01
calcitonin family receptor complex (GO:1903439)	5	3	.70	+	4.26	2.24E-02	1.27E-01
cytosolic large ribosomal subunit (GO:0022625)	60	36	8.46	+	4.26	2.13E-16	8.49E-15
astrocyte end-foot (GO:0097450)	12	7	1.69	+	4.14	4.53E-04	5.31E-03
photoreceptor distal connecting cilium (GO:0120206)	7	4	.99	+	4.05	9.66E-03	7.00E-02
nucleolar ribonuclease P complex (GO:0005655)	7	4	.99	+	4.05	9.66E-03	6.98E-02
sarcoplasmic reticulum lumen (GO:0033018)	7	4	.99	+	4.05	9.66E-03	6.95E-02
cytoplasmic side of rough endoplasmic reticulum membrane (GO:0098556)	7	4	.99	+	4.05	9.66E-03	6.93E-02
cytosolic ribosome (GO:0022626)	121	67	17.06	+	3.93	1.84E-26	1.67E-24
small ribosomal subunit (GO:0015935)	75	41	10.57	+	3.88	1.80E-16	7.65E-15
astrocyte projection (GO:0097449)	25	13	3.52	+	3.69	8.32E-06	1.39E-04
multimeric ribonuclease P complex (GO:0030681)	10	5	1.41	+	3.55	7.53E-03	5.67E-02
ciliary transition fiber (GO:0097539)	10	5	1.41	+	3.55	7.53E-03	5.65E-02
hyaluranon cable (GO:0036117)	2	1	.28	+	3.55	2.62E-01	6.67E-01
Rpd3L-Expanded complex (GO:0070210)	2	1	.28	+	3.55	2.62E-01	6.66E-01
negative cofactor 2 complex (GO:0017054)	2	1	.28	+	3.55	2.62E-01	6.65E-01
HCN channel complex (GO:0098855)	4	2	.56	+	3.55	9.80E-02	3.77E-01
phosphatidylinositol 3-kinase complex, class III, type II (GO:0034272)	4	2	.56	+	3.55	9.80E-02	3.76E-01
phosphatidylinositol 3-kinase complex, class III, type I (GO:0034271)	4	2	.56	+	3.55	9.80E-02	3.76E-01
clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane (GO:0061202)	2	1	.28	+	3.55	2.62E-01	6.64E-01
clathrin-sculpted gamma-aminobutyric acid transport vesicle (GO:0061200)	2	1	.28	+	3.55	2.62E-01	6.63E-01
presynaptic active zone cytoplasmic component (GO:0098831)	22	11	3.10	+	3.55	6.71E-05	9.49E-04
trans-synaptic protein complex (GO:0098820)	4	2	.56	+	3.55	9.80E-02	3.75E-01
histone H3-K14 acetyltransferase complex (GO:0036409)	2	1	.28	+	3.55	2.62E-01	6.62E-01
retrograde transporter complex, Golgi to ER (GO:0061852)	2	1	.28	+	3.55	2.62E-01	6.61E-01
leading edge of lamellipodium (GO:0061851)	4	2	.56	+	3.55	9.80E-02	3.74E-01
prominosome (GO:0071914)	2	1	.28	+	3.55	2.62E-01	6.61E-01
CKM complex (GO:1990508)	4	2	.56	+	3.55	9.80E-02	3.74E-01
lysosomal matrix (GO:1990836)	2	1	.28	+	3.55	2.62E-01	6.60E-01
Hrd1p ubiquitin ligase ERAD-L complex (GO:0000839)	2	1	.28	+	3.55	2.62E-01	6.59E-01
extrinsic component of external side of plasma membrane (GO:0031232)	2	1	.28	+	3.55	2.62E-01	6.58E-01
growth cone filopodium (GO:1990812)	4	2	.56	+	3.55	9.80E-02	3.73E-01
calpain complex (GO:0110158)	4	2	.56	+	3.55	9.80E-02	3.72E-01
epsilon DNA polymerase complex (GO:0008622)	4	2	.56	+	3.55	9.80E-02	3.71E-01
transcription factor TFIIF complex (GO:0005674)	2	1	.28	+	3.55	2.62E-01	6.57E-01
box H/ACA telomerase RNP complex (GO:0090661)	4	2	.56	+	3.55	9.80E-02	3.71E-01
nuclear pre-replicative complex (GO:0005656)	2	1	.28	+	3.55	2.62E-01	6.56E-01
GDP-mannose pyrophosphorylase complex (GO:0120508)	2	1	.28	+	3.55	2.62E-01	6.56E-01
perisynaptic space (GO:0099544)	4	2	.56	+	3.55	9.80E-02	3.70E-01
Nem1-Spo7 phosphatase complex (GO:0071595)	2	1	.28	+	3.55	2.62E-01	6.55E-01
mitochondrial degradosome (GO:0045025)	2	1	.28	+	3.55	2.62E-01	6.54E-01
pre-replicative complex (GO:0036387)	2	1	.28	+	3.55	2.62E-01	6.53E-01
AP-5 adaptor complex (GO:0044599)	4	2	.56	+	3.55	9.80E-02	3.69E-01
Grb2-EGFR complex (GO:0070436)	2	1	.28	+	3.55	2.62E-01	6.52E-01
Gtr1-Gtr2 GTPase complex (GO:1990131)	4	2	.56	+	3.55	9.80E-02	3.69E-01
Rad51C-XRCC3 complex (GO:0033065)	2	1	.28	+	3.55	2.62E-01	6.52E-01
septate junction (GO:0005918)	2	1	.28	+	3.55	2.62E-01	6.51E-01
endopeptidase Clp complex (GO:0009368)	2	1	.28	+	3.55	2.62E-01	6.50E-01
chromaffin granule lumen (GO:0034466)	2	1	.28	+	3.55	2.62E-01	6.49E-01
oligosaccharyltransferase complex (GO:0008250)	14	7	1.97	+	3.55	1.51E-03	1.53E-02
NF-kappaB p50/p65 complex (GO:0035525)	2	1	.28	+	3.55	2.62E-01	6.48E-01
CGRP receptor complex (GO:1990406)	2	1	.28	+	3.55	2.62E-01	6.48E-01
alphav-beta3 integrin-IGF-1-IGF1R complex (GO:0035867)	4	2	.56	+	3.55	9.80E-02	3.68E-01
cytoplasmic periphery of the nuclear pore complex (GO:1990723)	2	1	.28	+	3.55	2.62E-01	6.47E-01
axonemal central pair projection (GO:1990718)	2	1	.28	+	3.55	2.62E-01	6.46E-01
beta-catenin-ICAT complex (GO:1990711)	2	1	.28	+	3.55	2.62E-01	6.45E-01
presynaptic actin cytoskeleton (GO:0099143)	2	1	.28	+	3.55	2.62E-01	6.44E-01
Kv4.3-KChIP1 channel complex (GO:0071196)	2	1	.28	+	3.55	2.62E-01	6.44E-01
Kv4.2-KChIP2 channel complex (GO:0071193)	2	1	.28	+	3.55	2.62E-01	6.43E-01
FACIT collagen trimer (GO:0005593)	6	3	.85	+	3.55	4.02E-02	2.00E-01
B-WICH complex (GO:0110016)	8	4	1.13	+	3.55	1.72E-02	1.09E-01
NatB complex (GO:0031416)	2	1	.28	+	3.55	2.62E-01	6.42E-01
mitochondrial ATP-gated potassium channel complex (GO:0062157)	2	1	.28	+	3.55	2.62E-01	6.41E-01
WICH complex (GO:0090535)	2	1	.28	+	3.55	2.62E-01	6.40E-01
G protein-coupled GABA receptor complex (GO:1902712)	2	1	.28	+	3.55	2.62E-01	6.40E-01
respiratory chain complex III (GO:0045275)	12	6	1.69	+	3.55	3.36E-03	2.81E-02
amylin receptor complex 3 (GO:0150058)	2	1	.28	+	3.55	2.62E-01	6.39E-01
proton-transporting ATP synthase complex, coupling factor F(o) (GO:0045263)	14	7	1.97	+	3.55	1.51E-03	1.52E-02
lamellar body membrane (GO:0097232)	4	2	.56	+	3.55	9.80E-02	3.67E-01
LUBAC complex (GO:0071797)	4	2	.56	+	3.55	9.80E-02	3.67E-01
distal dendrite (GO:0150002)	2	1	.28	+	3.55	2.62E-01	6.38E-01
Ric1-Rgp1 guanyl-nucleotide exchange factor complex (GO:0034066)	2	1	.28	+	3.55	2.62E-01	6.37E-01
P-TEFb complex (GO:0070691)	2	1	.28	+	3.55	2.62E-01	6.36E-01
endoplasmic reticulum-endosome membrane contact site (GO:0140284)	4	2	.56	+	3.55	9.80E-02	3.66E-01
phosphopyruvate hydratase complex (GO:0000015)	4	2	.56	+	3.55	9.80E-02	3.65E-01
beta-N-acetylhexosaminidase complex (GO:1905379)	2	1	.28	+	3.55	2.62E-01	6.36E-01
extracellular matrix of synaptic cleft (GO:0098965)	4	2	.56	+	3.55	9.80E-02	3.64E-01
FACT complex (GO:0035101)	4	2	.56	+	3.55	9.80E-02	3.64E-01
tRNA (m7G46) methyltransferase complex (GO:0106143)	2	1	.28	+	3.55	2.62E-01	6.35E-01
CSF1-CSF1R complex (GO:1990682)	2	1	.28	+	3.55	2.62E-01	6.34E-01
BLOC-3 complex (GO:0031085)	2	1	.28	+	3.55	2.62E-01	6.33E-01
PCSK9-LDLR complex (GO:1990666)	2	1	.28	+	3.55	2.62E-01	6.33E-01
UFD1-NPL4 complex (GO:0036501)	2	1	.28	+	3.55	2.62E-01	6.32E-01
integrin alphav-beta8 complex (GO:0034686)	2	1	.28	+	3.55	2.62E-01	6.31E-01
integrin alphav-beta6 complex (GO:0034685)	2	1	.28	+	3.55	2.62E-01	6.30E-01
integrin alphav-beta1 complex (GO:0034682)	2	1	.28	+	3.55	2.62E-01	6.30E-01
host cell (GO:0043657)	2	1	.28	+	3.55	2.62E-01	6.29E-01
integrin alpha7-beta1 complex (GO:0034677)	2	1	.28	+	3.55	2.62E-01	6.28E-01
insulin-like growth factor binary complex (GO:0042568)	2	1	.28	+	3.55	2.62E-01	6.27E-01
integrin alpha5-beta1 complex (GO:0034674)	2	1	.28	+	3.55	2.62E-01	6.27E-01
RNA nuclear export complex (GO:0042565)	2	1	.28	+	3.55	2.62E-01	6.26E-01
integrin alpha3-beta1 complex (GO:0034667)	2	1	.28	+	3.55	2.62E-01	6.25E-01
IRE1-RACK1-PP2A complex (GO:1990630)	2	1	.28	+	3.55	2.62E-01	6.24E-01
ESCRT-0 complex (GO:0033565)	2	1	.28	+	3.55	2.62E-01	6.24E-01
delta DNA polymerase complex (GO:0043625)	4	2	.56	+	3.55	9.80E-02	3.63E-01
amylin receptor complex (GO:1903440)	2	1	.28	+	3.55	2.62E-01	6.23E-01
IRE1-TRAF2-ASK1 complex (GO:1990604)	4	2	.56	+	3.55	9.80E-02	3.62E-01
ubiquitin conjugating enzyme complex (GO:0031371)	8	4	1.13	+	3.55	1.72E-02	1.09E-01
cytoplasmic microtubule plus-end (GO:1904511)	2	1	.28	+	3.55	2.62E-01	6.22E-01
Set3 complex (GO:0034967)	2	1	.28	+	3.55	2.62E-01	6.21E-01
cortical microtubule plus-end (GO:1903754)	2	1	.28	+	3.55	2.62E-01	6.21E-01
H zone (GO:0031673)	2	1	.28	+	3.55	2.62E-01	6.20E-01
TMEM240-body (GO:0160045)	2	1	.28	+	3.55	2.62E-01	6.19E-01
ferritin complex (GO:0070288)	2	1	.28	+	3.55	2.62E-01	6.18E-01
BAK complex (GO:0097145)	2	1	.28	+	3.55	2.62E-01	6.18E-01
BAD-BCL-2 complex (GO:0097138)	2	1	.28	+	3.55	2.62E-01	6.17E-01
cyclin D1-CDK6 complex (GO:0097131)	2	1	.28	+	3.55	2.62E-01	6.16E-01
cyclin D3-CDK4 complex (GO:0097130)	2	1	.28	+	3.55	2.62E-01	6.15E-01
cyclin B1-CDK1 complex (GO:0097125)	2	1	.28	+	3.55	2.62E-01	6.15E-01
polycystin complex (GO:0002133)	2	1	.28	+	3.55	2.62E-01	6.14E-01
inward rectifier potassium channel complex (GO:1902937)	4	2	.56	+	3.55	9.80E-02	3.62E-01
postsynaptic endocytic zone cytoplasmic component (GO:0099631)	2	1	.28	+	3.55	2.62E-01	6.13E-01
cytoplasmic side of Golgi membrane (GO:0098548)	2	1	.28	+	3.55	2.62E-01	6.13E-01
pyruvate kinase complex (GO:1902912)	2	1	.28	+	3.55	2.62E-01	6.12E-01
GAIT complex (GO:0097452)	6	3	.85	+	3.55	4.02E-02	2.00E-01
ribosomal subunit (GO:0044391)	189	94	26.64	+	3.53	1.28E-31	1.59E-29
respiratory chain complex (GO:0098803)	111	55	15.65	+	3.52	5.58E-19	2.72E-17
AMPA glutamate receptor complex (GO:0032281)	31	15	4.37	+	3.43	5.32E-06	9.30E-05
RNA polymerase II, core complex (GO:0005665)	15	7	2.11	+	3.31	2.50E-03	2.30E-02
large ribosomal subunit (GO:0015934)	118	55	16.63	+	3.31	1.91E-17	8.65E-16
beta-catenin-TCF complex (GO:1990907)	13	6	1.83	+	3.27	5.50E-03	4.30E-02
G protein-coupled receptor complex (GO:0097648)	11	5	1.55	+	3.22	1.22E-02	8.23E-02
proteasome core complex, beta-subunit complex (GO:0019774)	11	5	1.55	+	3.22	1.22E-02	8.21E-02
cerebellar climbing fiber to Purkinje cell synapse (GO:0150053)	11	5	1.55	+	3.22	1.22E-02	8.18E-02
TRAPPII protein complex (GO:1990071)	11	5	1.55	+	3.22	1.22E-02	8.15E-02
cytochrome complex (GO:0070069)	38	17	5.36	+	3.17	4.87E-06	8.59E-05
extrinsic component of presynaptic membrane (GO:0098888)	18	8	2.54	+	3.15	1.80E-03	1.74E-02
ribonuclease MRP complex (GO:0000172)	9	4	1.27	+	3.15	2.75E-02	1.47E-01
paraspeckles (GO:0042382)	9	4	1.27	+	3.15	2.75E-02	1.47E-01
VCP-NPL4-UFD1 AAA ATPase complex (GO:0034098)	9	4	1.27	+	3.15	2.75E-02	1.46E-01
MICOS complex (GO:0061617)	9	4	1.27	+	3.15	2.75E-02	1.46E-01
clathrin-sculpted vesicle (GO:0060198)	9	4	1.27	+	3.15	2.75E-02	1.46E-01
organellar small ribosomal subunit (GO:0000314)	32	14	4.51	+	3.10	4.56E-05	6.88E-04
mitochondrial small ribosomal subunit (GO:0005763)	32	14	4.51	+	3.10	4.56E-05	6.83E-04
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	7	3	.99	+	3.04	6.30E-02	2.70E-01
prefoldin complex (GO:0016272)	7	3	.99	+	3.04	6.30E-02	2.69E-01
PTW/PP1 phosphatase complex (GO:0072357)	7	3	.99	+	3.04	6.30E-02	2.69E-01
inhibitory synapse (GO:0060077)	28	12	3.95	+	3.04	2.02E-04	2.59E-03
clathrin-sculpted glutamate transport vesicle membrane (GO:0060203)	7	3	.99	+	3.04	6.30E-02	2.68E-01
G protein-coupled receptor dimeric complex (GO:0038037)	7	3	.99	+	3.04	6.30E-02	2.67E-01
spectrin-associated cytoskeleton (GO:0014731)	7	3	.99	+	3.04	6.30E-02	2.67E-01
mitochondrial permeability transition pore complex (GO:0005757)	7	3	.99	+	3.04	6.30E-02	2.66E-01
clathrin-sculpted glutamate transport vesicle (GO:0060199)	7	3	.99	+	3.04	6.30E-02	2.66E-01
ribosome (GO:0005840)	243	104	34.25	+	3.04	6.33E-28	6.31E-26
postsynaptic cytoskeleton (GO:0099571)	26	11	3.66	+	3.00	4.27E-04	5.13E-03
respiratory chain complex IV (GO:0045277)	26	11	3.66	+	3.00	4.27E-04	5.10E-03
ionotropic glutamate receptor complex (GO:0008328)	45	19	6.34	+	3.00	3.92E-06	7.11E-05
extrinsic component of postsynaptic specialization membrane (GO:0098892)	12	5	1.69	+	2.96	1.86E-02	1.14E-01
methylosome (GO:0034709)	12	5	1.69	+	2.96	1.86E-02	1.14E-01
fibrillar collagen trimer (GO:0005583)	12	5	1.69	+	2.96	1.86E-02	1.13E-01
banded collagen fibril (GO:0098643)	12	5	1.69	+	2.96	1.86E-02	1.13E-01
endoplasmic reticulum chaperone complex (GO:0034663)	12	5	1.69	+	2.96	1.86E-02	1.13E-01
FAR/SIN/STRIPAK complex (GO:0090443)	17	7	2.40	+	2.92	5.83E-03	4.51E-02
neurotransmitter receptor complex (GO:0098878)	47	19	6.63	+	2.87	8.45E-06	1.40E-04
endosome lumen (GO:0031904)	15	6	2.11	+	2.84	1.25E-02	8.29E-02
subapical complex (GO:0035003)	5	2	.70	+	2.84	1.48E-01	4.63E-01
proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)	25	10	3.52	+	2.84	1.31E-03	1.36E-02
elastic fiber (GO:0071953)	5	2	.70	+	2.84	1.48E-01	4.62E-01
caspase complex (GO:0008303)	10	4	1.41	+	2.84	4.08E-02	2.02E-01
AP-4 adaptor complex (GO:0030124)	5	2	.70	+	2.84	1.48E-01	4.62E-01
mitochondrial intermembrane space protein transporter complex (GO:0042719)	5	2	.70	+	2.84	1.48E-01	4.61E-01
U4 snRNP (GO:0005687)	10	4	1.41	+	2.84	4.08E-02	2.02E-01
DNA replication factor C complex (GO:0005663)	5	2	.70	+	2.84	1.48E-01	4.60E-01
neuronal ribonucleoprotein granule (GO:0071598)	10	4	1.41	+	2.84	4.08E-02	2.01E-01
phosphorylase kinase complex (GO:0005964)	5	2	.70	+	2.84	1.48E-01	4.59E-01
DNA-dependent protein kinase complex (GO:0070418)	5	2	.70	+	2.84	1.48E-01	4.59E-01
supraspliceosomal complex (GO:0044530)	5	2	.70	+	2.84	1.48E-01	4.58E-01
MMXD complex (GO:0071817)	5	2	.70	+	2.84	1.48E-01	4.57E-01
proximal neuron projection (GO:1990769)	5	2	.70	+	2.84	1.48E-01	4.57E-01
insulin-responsive compartment (GO:0032593)	10	4	1.41	+	2.84	4.08E-02	2.01E-01
collagen type IX trimer (GO:0005594)	5	2	.70	+	2.84	1.48E-01	4.56E-01
box H/ACA snoRNP complex (GO:0031429)	5	2	.70	+	2.84	1.48E-01	4.55E-01
box H/ACA RNP complex (GO:0072588)	5	2	.70	+	2.84	1.48E-01	4.54E-01
