




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
P-type sodium:potassium-exchanging transporter activity involved in regulation of cardiac muscle cell membrane potential (GO:0086037)	1	1	.06	+	15.48	6.46E-02	8.16E-01
oxidised low-density lipoprotein particle receptor activity (GO:0150025)	1	1	.06	+	15.48	6.46E-02	8.14E-01
dihydrofolate reductase activity (GO:0004146)	1	1	.06	+	15.48	6.46E-02	8.12E-01
lipoteichoic acid immune receptor activity (GO:0070892)	1	1	.06	+	15.48	6.46E-02	8.10E-01
cystathionine gamma-lyase activity (GO:0004123)	1	1	.06	+	15.48	6.46E-02	8.08E-01
4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase activity (GO:0120521)	1	1	.06	+	15.48	6.46E-02	8.06E-01
free fatty acid 2-hydroxylase activity (GO:0120520)	1	1	.06	+	15.48	6.46E-02	8.04E-01
L-cystine L-cysteine-lyase (deaminating) (GO:0044540)	1	1	.06	+	15.48	6.46E-02	8.02E-01
inositol-5-diphosphate-1,3,4,6-tetrakisphosphate diphosphatase activity (GO:0106211)	1	1	.06	+	15.48	6.46E-02	8.00E-01
chondroitin 6-sulfotransferase activity (GO:0008459)	2	2	.13	+	15.48	4.17E-03	1.64E-01
carnitine O-acetyltransferase activity (GO:0004092)	1	1	.06	+	15.48	6.46E-02	7.98E-01
riboflavin binding (GO:1902444)	1	1	.06	+	15.48	6.46E-02	7.96E-01
argininosuccinate synthase activity (GO:0004055)	1	1	.06	+	15.48	6.46E-02	7.94E-01
thiomorpholine-carboxylate dehydrogenase activity (GO:0047127)	1	1	.06	+	15.48	6.46E-02	7.92E-01
cyclin-dependent protein kinase activating kinase activity (GO:0019912)	1	1	.06	+	15.48	6.46E-02	7.90E-01
calcium ion binding involved in regulation of postsynaptic cytosolic calcium ion concentration (GO:0099567)	1	1	.06	+	15.48	6.46E-02	7.88E-01
galactose:proton symporter activity (GO:0015517)	1	1	.06	+	15.48	6.46E-02	7.86E-01
deaminase binding (GO:1990827)	1	1	.06	+	15.48	6.46E-02	7.85E-01
nuclear mineralocorticoid receptor binding (GO:0031962)	1	1	.06	+	15.48	6.46E-02	7.83E-01
DNA-7-methylguanine glycosylase activity (GO:0043916)	1	1	.06	+	15.48	6.46E-02	7.81E-01
aspartoacylase activity (GO:0019807)	1	1	.06	+	15.48	6.46E-02	7.79E-01
oxidized pyrimidine DNA binding (GO:0032358)	1	1	.06	+	15.48	6.46E-02	7.77E-01
type 2 vasoactive intestinal polypeptide receptor binding (GO:0031892)	1	1	.06	+	15.48	6.46E-02	7.75E-01
pituitary adenylate cyclase-activating polypeptide receptor binding (GO:0031858)	1	1	.06	+	15.48	6.46E-02	7.74E-01
peptide histaminyltransferase activity (GO:0120299)	1	1	.06	+	15.48	6.46E-02	7.72E-01
peptide noradrenalinyltransferase activity (GO:0120298)	1	1	.06	+	15.48	6.46E-02	7.70E-01
histone dopaminyltransferase activity (GO:0120297)	1	1	.06	+	15.48	6.46E-02	7.68E-01
peptide dopaminyltransferase activity (GO:0120296)	1	1	.06	+	15.48	6.46E-02	7.66E-01
histone serotonyltransferase activity (GO:0120295)	1	1	.06	+	15.48	6.46E-02	7.65E-01
peptide serotonyltransferase activity (GO:0120294)	1	1	.06	+	15.48	6.46E-02	7.63E-01
11-beta-hydroxysteroid dehydrogenase (NAD+) activity (GO:0070523)	1	1	.06	+	15.48	6.46E-02	7.61E-01
siderophore-iron transmembrane transporter activity (GO:0015343)	1	1	.06	+	15.48	6.46E-02	7.59E-01
5-methyltetrahydrofolate-dependent methyltransferase activity (GO:0042084)	1	1	.06	+	15.48	6.46E-02	7.58E-01
5,10-methylenetetrahydrofolate-dependent methyltransferase activity (GO:0042083)	1	1	.06	+	15.48	6.46E-02	7.56E-01
DNA-3-methylbase glycosylase activity (GO:0043733)	1	1	.06	+	15.48	6.46E-02	7.54E-01
type 1 galanin receptor binding (GO:0031764)	1	1	.06	+	15.48	6.46E-02	7.52E-01
type 1 cannabinoid receptor binding (GO:0031718)	1	1	.06	+	15.48	6.46E-02	7.51E-01
cannabinoid receptor binding (GO:0031717)	1	1	.06	+	15.48	6.46E-02	7.49E-01
gluconokinase activity (GO:0046316)	1	1	.06	+	15.48	6.46E-02	7.47E-01
interleukin-4 receptor activity (GO:0004913)	1	1	.06	+	15.48	6.46E-02	7.46E-01
[heparan sulfate]-glucosamine 3-sulfotransferase 2 activity (GO:0033871)	1	1	.06	+	15.48	6.46E-02	7.44E-01
pentraxin receptor activity (GO:0008029)	1	1	.06	+	15.48	6.46E-02	7.42E-01
acireductone dioxygenase [iron(II)-requiring] activity (GO:0010309)	1	1	.06	+	15.48	6.46E-02	7.41E-01
acireductone dioxygenase (Ni2+-requiring) activity (GO:0010308)	1	1	.06	+	15.48	6.46E-02	7.39E-01
L-cysteine desulfhydrase activity (GO:0080146)	1	1	.06	+	15.48	6.46E-02	7.37E-01
beta-endorphin binding (GO:0031626)	1	1	.06	+	15.48	6.46E-02	7.36E-01
fatty acid 2-hydroxylase activity (GO:0080132)	1	1	.06	+	15.48	6.46E-02	7.34E-01
fucose transmembrane transporter activity (GO:0015150)	1	1	.06	+	15.48	6.46E-02	7.32E-01
ion channel regulator activity involved in G protein-coupled receptor signaling pathway (GO:0099107)	1	1	.06	+	15.48	6.46E-02	7.31E-01
choline:sodium symporter activity (GO:0005307)	1	1	.06	+	15.48	6.46E-02	7.29E-01
homocysteine desulfhydrase activity (GO:0047982)	1	1	.06	+	15.48	6.46E-02	7.28E-01
glucose-1,6-bisphosphate synthase activity (GO:0047933)	1	1	.06	+	15.48	6.46E-02	7.26E-01
selenocystathionine gamma-lyase activity (GO:0098606)	1	1	.06	+	15.48	6.46E-02	7.24E-01
FMN reductase (NADH) activity (GO:0052874)	1	1	.06	+	15.48	6.46E-02	7.23E-01
FMN reductase (NADPH) activity (GO:0052873)	1	1	.06	+	15.48	6.46E-02	7.21E-01
proteoglycan sulfotransferase activity (GO:0050698)	1	1	.06	+	15.48	6.46E-02	7.20E-01
AF-1 domain binding (GO:0050683)	1	1	.06	+	15.48	6.46E-02	7.18E-01
glycine amidinotransferase activity (GO:0015068)	1	1	.06	+	15.48	6.46E-02	7.17E-01
amidinotransferase activity (GO:0015067)	1	1	.06	+	15.48	6.46E-02	7.15E-01
DNA-3-methylguanine glycosylase activity (GO:0052822)	1	1	.06	+	15.48	6.46E-02	7.13E-01
DNA-7-methyladenine glycosylase activity (GO:0052821)	1	1	.06	+	15.48	6.46E-02	7.12E-01
open rectifier potassium channel activity (GO:0005252)	1	1	.06	+	15.48	6.46E-02	7.10E-01
RNA NAD-cap (NMN-forming) hydrolase activity (GO:0110153)	1	1	.06	+	15.48	6.46E-02	7.09E-01
thymidylate synthase activity (GO:0004799)	1	1	.06	+	15.48	6.46E-02	7.07E-01
dCTP diphosphatase activity (GO:0047840)	1	1	.06	+	15.48	6.46E-02	7.06E-01
pyridoxamine phosphate oxidase activity (GO:0004733)	1	1	.06	+	15.48	6.46E-02	7.04E-01
protein-glutamine glutaminase activity (GO:0050568)	1	1	.06	+	15.48	6.46E-02	7.03E-01
phosphocholine phosphatase activity (GO:0052731)	1	1	.06	+	15.48	6.46E-02	7.01E-01
class II DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0052720)	1	1	.06	+	15.48	6.46E-02	7.00E-01
enterobactin transmembrane transporter activity (GO:0042931)	1	1	.06	+	15.48	6.46E-02	6.98E-01
nitric-oxide synthase activity (GO:0004517)	3	2	.19	+	10.32	1.20E-02	3.29E-01
6-phosphofructokinase activity (GO:0003872)	3	2	.19	+	10.32	1.20E-02	3.27E-01
temperature-gated ion channel activity (GO:0097603)	3	2	.19	+	10.32	1.20E-02	3.26E-01
cadmium ion binding (GO:0046870)	6	4	.39	+	10.32	2.34E-04	2.35E-02
syntaxin-3 binding (GO:0030348)	3	2	.19	+	10.32	1.20E-02	3.24E-01
catalase activity (GO:0004096)	3	2	.19	+	10.32	1.20E-02	3.22E-01
tetrahydrobiopterin binding (GO:0034617)	3	2	.19	+	10.32	1.20E-02	3.21E-01
coenzyme A transmembrane transporter activity (GO:0015228)	3	2	.19	+	10.32	1.20E-02	3.19E-01
alpha1-adrenergic receptor activity (GO:0004937)	3	2	.19	+	10.32	1.20E-02	3.17E-01
glial cell-derived neurotrophic factor receptor activity (GO:0016167)	5	3	.32	+	9.29	2.44E-03	1.19E-01
inhibin binding (GO:0034711)	5	3	.32	+	9.29	2.44E-03	1.18E-01
histone octamer slider activity (GO:0140751)	5	3	.32	+	9.29	2.44E-03	1.17E-01
nucleosome array spacer activity (GO:0140750)	5	3	.32	+	9.29	2.44E-03	1.15E-01
carnitine O-acyltransferase activity (GO:0016406)	6	3	.39	+	7.74	4.64E-03	1.77E-01
osmolarity-sensing monoatomic cation channel activity (GO:1990760)	6	3	.39	+	7.74	4.64E-03	1.76E-01
ABC-type sterol transporter activity (GO:0034041)	2	1	.13	+	7.74	1.25E-01	1.00E00
cyanamide hydratase activity (GO:0018820)	2	1	.13	+	7.74	1.25E-01	1.00E00
RNA folding chaperone (GO:0140691)	2	1	.13	+	7.74	1.25E-01	1.00E00
phosphomannomutase activity (GO:0004615)	2	1	.13	+	7.74	1.25E-01	1.00E00
cytoskeletal motor regulator activity (GO:0140659)	2	1	.13	+	7.74	1.25E-01	1.00E00
tRNA-intron endonuclease activity (GO:0000213)	2	1	.13	+	7.74	1.25E-01	1.00E00
L-isoleucine-2-oxoglutarate transaminase activity (GO:0052656)	2	1	.13	+	7.74	1.25E-01	1.00E00
L-valine-2-oxoglutarate transaminase activity (GO:0052655)	2	1	.13	+	7.74	1.25E-01	1.00E00
L-leucine-2-oxoglutarate transaminase activity (GO:0052654)	2	1	.13	+	7.74	1.25E-01	1.00E00
peptide-alanine-alpha-N-acetyltransferase activity (GO:0008999)	2	1	.13	+	7.74	1.25E-01	1.00E00
prostaglandin H2 endoperoxidase reductase activity (GO:0036130)	2	1	.13	+	7.74	1.25E-01	1.00E00
ornithine decarboxylase activity (GO:0004586)	2	1	.13	+	7.74	1.25E-01	1.00E00
thiol S-methyltransferase activity (GO:0018708)	4	2	.26	+	7.74	2.29E-02	4.88E-01
EH domain binding (GO:1990175)	2	1	.13	+	7.74	1.25E-01	1.00E00
prostacyclin receptor activity (GO:0016501)	2	1	.13	+	7.74	1.25E-01	1.00E00
structural constituent of nuclear lamina (GO:0160123)	2	1	.13	+	7.74	1.25E-01	1.00E00
tryptophan 5-monooxygenase activity (GO:0004510)	2	1	.13	+	7.74	1.25E-01	1.00E00
denatured protein binding (GO:0031249)	2	1	.13	+	7.74	1.25E-01	1.00E00
G protein-coupled neurotensin receptor activity (GO:0016492)	2	1	.13	+	7.74	1.25E-01	1.00E00
mRNA (nucleoside-2'-O-)-methyltransferase activity (GO:0004483)	2	1	.13	+	7.74	1.25E-01	1.00E00
isocitrate dehydrogenase (NADP+) activity (GO:0004450)	2	1	.13	+	7.74	1.25E-01	1.00E00
hydroxymethylglutaryl-CoA synthase activity (GO:0004421)	2	1	.13	+	7.74	1.25E-01	1.00E00
methylglyoxal reductase (NADPH) (acetol producing) activity (GO:1990002)	2	1	.13	+	7.74	1.25E-01	1.00E00
DNA-(abasic site) binding (GO:0140431)	2	1	.13	+	7.74	1.25E-01	1.00E00
acetylcholinesterase activity (GO:0003990)	2	1	.13	+	7.74	1.25E-01	1.00E00
UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)	2	1	.13	+	7.74	1.25E-01	1.00E00
NADPH:quinone reductase activity (GO:0003960)	2	1	.13	+	7.74	1.25E-01	1.00E00
ribosylnicotinate kinase activity (GO:0061769)	2	1	.13	+	7.74	1.25E-01	1.00E00
activin receptor antagonist activity (GO:0038102)	2	1	.13	+	7.74	1.25E-01	1.00E00
U6 snRNA 3'-end binding (GO:0030629)	2	1	.13	+	7.74	1.25E-01	1.00E00
acetate CoA-transferase activity (GO:0008775)	2	1	.13	+	7.74	1.25E-01	1.00E00
pre-mRNA 5'-splice site binding (GO:0030627)	2	1	.13	+	7.74	1.25E-01	1.00E00
telomeric repeat-containing RNA binding (GO:0061752)	2	1	.13	+	7.74	1.25E-01	1.00E00
heme oxygenase (decyclizing) activity (GO:0004392)	2	1	.13	+	7.74	1.25E-01	1.00E00
glycine hydroxymethyltransferase activity (GO:0004372)	2	1	.13	+	7.74	1.25E-01	1.00E00
N(6)-L-threonylcarbamoyladenine synthase activity (GO:0061711)	2	1	.13	+	7.74	1.25E-01	1.00E00
glutaminase activity (GO:0004359)	4	2	.26	+	7.74	2.29E-02	4.86E-01
galactokinase activity (GO:0004335)	2	1	.13	+	7.74	1.25E-01	1.00E00
steroid receptor RNA activator RNA binding (GO:0002153)	2	1	.13	+	7.74	1.25E-01	1.00E00
all-trans retinoic acid 18-hydroxylase activity (GO:0062183)	2	1	.13	+	7.74	1.25E-01	1.00E00
ADP-ribosylarginine hydrolase activity (GO:0003875)	2	1	.13	+	7.74	1.25E-01	1.00E00
5-aminolevulinate synthase activity (GO:0003870)	2	1	.13	+	7.74	1.25E-01	1.00E00
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity (GO:0003863)	2	1	.13	+	7.74	1.25E-01	1.00E00
11-beta-hydroxysteroid dehydrogenase [NAD(P)+] activity (GO:0003845)	2	1	.13	+	7.74	1.25E-01	1.00E00
group III metabotropic glutamate receptor activity (GO:0001642)	4	2	.26	+	7.74	2.29E-02	4.84E-01
temperature-gated cation channel activity (GO:0097604)	2	1	.13	+	7.74	1.25E-01	1.00E00
8-oxo-GDP phosphatase activity (GO:0044716)	2	1	.13	+	7.74	1.25E-01	1.00E00
small conductance calcium-activated potassium channel activity (GO:0016286)	4	2	.26	+	7.74	2.29E-02	4.82E-01
NADPH pyrophosphatase activity (GO:0010943)	2	1	.13	+	7.74	1.25E-01	1.00E00
[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity (GO:0047322)	2	1	.13	+	7.74	1.25E-01	1.00E00
kynurenine-glyoxylate transaminase activity (GO:0047315)	2	1	.13	+	7.74	1.25E-01	1.00E00
TIR domain binding (GO:0070976)	2	1	.13	+	7.74	1.25E-01	1.00E00
serotonin-gated monoatomic cation channel activity (GO:0022850)	4	2	.26	+	7.74	2.29E-02	4.80E-01
adenylate cyclase inhibitor activity (GO:0010855)	4	2	.26	+	7.74	2.29E-02	4.79E-01
dephospho-CoA kinase activity (GO:0004140)	2	1	.13	+	7.74	1.25E-01	1.00E00
ethanol binding (GO:0035276)	2	1	.13	+	7.74	1.25E-01	1.00E00
coproporphyrinogen oxidase activity (GO:0004109)	2	1	.13	+	7.74	1.25E-01	1.00E00
choline kinase activity (GO:0004103)	2	1	.13	+	7.74	1.25E-01	1.00E00
pyrimidine deoxyribonucleotide binding (GO:0032556)	2	1	.13	+	7.74	1.25E-01	1.00E00
carnitine O-palmitoyltransferase activity (GO:0004095)	4	2	.26	+	7.74	2.29E-02	4.77E-01
branched-chain-amino-acid transaminase activity (GO:0004084)	2	1	.13	+	7.74	1.25E-01	1.00E00
biliverdin reductase [NAD(P)+] activity (GO:0004074)	2	1	.13	+	7.74	1.25E-01	1.00E00
adenosylmethionine decarboxylase activity (GO:0004014)	2	1	.13	+	7.74	1.25E-01	1.00E00
calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration (GO:0099534)	2	1	.13	+	7.74	1.25E-01	1.00E00
calcium ion binding involved in regulation of cytosolic calcium ion concentration (GO:0099510)	2	1	.13	+	7.74	1.25E-01	1.00E00
purine phosphoribosyltransferase activity (GO:0106130)	2	1	.13	+	7.74	1.25E-01	1.00E00
netrin receptor binding (GO:1990890)	2	1	.13	+	7.74	1.25E-01	1.00E00
GBD domain binding (GO:0032427)	2	1	.13	+	7.74	1.25E-01	1.00E00
diphosphoinositol pentakisphosphate kinase activity (GO:0000829)	2	1	.13	+	7.74	1.25E-01	1.00E00
inositol-1,3,4,5,6-pentakisphosphate kinase activity (GO:0000827)	2	1	.13	+	7.74	1.25E-01	1.00E00
5-hydroxymethyl-dUMP N-hydrolase activity (GO:0070694)	2	1	.13	+	7.74	1.25E-01	1.00E00
putrescine binding (GO:0019810)	2	1	.13	+	7.74	1.25E-01	1.00E00
protein-transporting ATPase activity (GO:0015450)	2	1	.13	+	7.74	1.25E-01	1.00E00
ABC-type vitamin B12 transporter activity (GO:0015420)	2	1	.13	+	7.74	1.25E-01	1.00E00
non-sequence-specific DNA binding, bending (GO:0044378)	2	1	.13	+	7.74	1.25E-01	9.99E-01
cytoskeletal protein-membrane anchor activity (GO:0106006)	2	1	.13	+	7.74	1.25E-01	9.97E-01
protein xylosyltransferase activity (GO:0030158)	2	1	.13	+	7.74	1.25E-01	9.96E-01
type 1 vasoactive intestinal polypeptide receptor binding (GO:0031891)	2	1	.13	+	7.74	1.25E-01	9.94E-01
vasoactive intestinal polypeptide receptor binding (GO:0031890)	2	1	.13	+	7.74	1.25E-01	9.93E-01
purine-specific mismatch base pair DNA N-glycosylase activity (GO:0000701)	2	1	.13	+	7.74	1.25E-01	9.91E-01
neuromedin K receptor binding (GO:0031836)	2	1	.13	+	7.74	1.25E-01	9.90E-01
substance P receptor binding (GO:0031835)	2	1	.13	+	7.74	1.25E-01	9.88E-01
pre-mRNA intronic pyrimidine-rich binding (GO:0097158)	2	1	.13	+	7.74	1.25E-01	9.87E-01
FK506 binding (GO:0005528)	4	2	.26	+	7.74	2.29E-02	4.75E-01
type 3 galanin receptor binding (GO:0031766)	2	1	.13	+	7.74	1.25E-01	9.85E-01
type 2 galanin receptor binding (GO:0031765)	2	1	.13	+	7.74	1.25E-01	9.84E-01
galanin receptor binding (GO:0031763)	2	1	.13	+	7.74	1.25E-01	9.82E-01
mechanosensitive potassium channel activity (GO:0098782)	2	1	.13	+	7.74	1.25E-01	9.81E-01
prosaposin receptor activity (GO:0036505)	2	1	.13	+	7.74	1.25E-01	9.79E-01
nicotinate riboside kinase activity (GO:0034317)	2	1	.13	+	7.74	1.25E-01	9.78E-01
diolein transacylation activity (GO:0051265)	2	1	.13	+	7.74	1.25E-01	9.76E-01
mono-olein transacylation activity (GO:0051264)	2	1	.13	+	7.74	1.25E-01	9.75E-01
leukemia inhibitory factor receptor activity (GO:0004923)	2	1	.13	+	7.74	1.25E-01	9.73E-01
5-diphosphoinositol pentakisphosphate 1-kinase activity (GO:0033857)	2	1	.13	+	7.74	1.25E-01	9.72E-01
AMP transmembrane transporter activity (GO:0080122)	2	1	.13	+	7.74	1.25E-01	9.70E-01
structural constituent of presynapse (GO:0099181)	2	1	.13	+	7.74	1.25E-01	9.69E-01
nitric-oxide synthase inhibitor activity (GO:0036487)	2	1	.13	+	7.74	1.25E-01	9.67E-01
site-specific endodeoxyribonuclease activity, specific for altered base (GO:0016890)	2	1	.13	+	7.74	1.25E-01	9.66E-01
thyroxine 5-deiodinase activity (GO:0033798)	2	1	.13	+	7.74	1.25E-01	9.64E-01
U2 snRNP binding (GO:1990447)	2	1	.13	+	7.74	1.25E-01	9.63E-01
leucine-tRNA ligase activity (GO:0004823)	2	1	.13	+	7.74	1.25E-01	9.61E-01
asparagine-tRNA ligase activity (GO:0004816)	2	1	.13	+	7.74	1.25E-01	9.60E-01
pyridoxal binding (GO:0070280)	2	1	.13	+	7.74	1.25E-01	9.59E-01
inositol-3,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity (GO:0052848)	2	1	.13	+	7.74	1.25E-01	9.57E-01
inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity (GO:0052845)	2	1	.13	+	7.74	1.25E-01	9.56E-01
inositol diphosphate pentakisphosphate diphosphatase activity (GO:0052842)	2	1	.13	+	7.74	1.25E-01	9.54E-01
inositol bisdiphosphate tetrakisphosphate diphosphatase activity (GO:0052841)	2	1	.13	+	7.74	1.25E-01	9.53E-01
inositol diphosphate tetrakisphosphate diphosphatase activity (GO:0052840)	2	1	.13	+	7.74	1.25E-01	9.51E-01
intracellular sodium-activated potassium channel activity (GO:0005228)	2	1	.13	+	7.74	1.25E-01	9.50E-01
delta14-sterol reductase activity (GO:0050613)	2	1	.13	+	7.74	1.25E-01	9.49E-01
thymidylate kinase activity (GO:0004798)	2	1	.13	+	7.74	1.25E-01	9.47E-01
thymidine kinase activity (GO:0004797)	2	1	.13	+	7.74	1.25E-01	9.46E-01
N-succinyltransferase activity (GO:0016749)	2	1	.13	+	7.74	1.25E-01	9.44E-01
cysteine-S-conjugate beta-lyase activity (GO:0047804)	2	1	.13	+	7.74	1.25E-01	9.43E-01
SCF ubiquitin ligase complex binding (GO:1905761)	2	1	.13	+	7.74	1.25E-01	9.42E-01
CD40 receptor binding (GO:0005174)	2	1	.13	+	7.74	1.25E-01	9.40E-01
phosphoethanolamine phosphatase activity (GO:0052732)	2	1	.13	+	7.74	1.25E-01	9.39E-01
haptoglobin binding (GO:0031720)	11	5	.71	+	7.03	3.72E-04	3.17E-02
structural constituent of presynaptic active zone (GO:0098882)	9	4	.58	+	6.88	1.68E-03	8.77E-02
osmosensor activity (GO:0005034)	7	3	.45	+	6.63	7.74E-03	2.43E-01
D-loop DNA binding (GO:0062037)	7	3	.45	+	6.63	7.74E-03	2.41E-01
hemoglobin alpha binding (GO:0031721)	7	3	.45	+	6.63	7.74E-03	2.40E-01
chloroplast targeting sequence binding (GO:0030941)	5	2	.32	+	6.19	3.66E-02	6.71E-01
fructose-6-phosphate binding (GO:0070095)	5	2	.32	+	6.19	3.66E-02	6.68E-01
O-palmitoyltransferase activity (GO:0016416)	5	2	.32	+	6.19	3.66E-02	6.66E-01
opioid peptide activity (GO:0001515)	5	2	.32	+	6.19	3.66E-02	6.63E-01
cyclase inhibitor activity (GO:0010852)	5	2	.32	+	6.19	3.66E-02	6.61E-01
aminoacylase activity (GO:0004046)	5	2	.32	+	6.19	3.66E-02	6.59E-01
voltage-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential (GO:1905030)	5	2	.32	+	6.19	3.66E-02	6.56E-01
calcium, potassium:sodium antiporter activity (GO:0008273)	5	2	.32	+	6.19	3.66E-02	6.54E-01
